"type";"question";"gold_answer";"llm_response";"complexity";"saf";"nli";"sim";"relevancy";"faithfulness";"model"
"grafo";"Sou obrigado a dar minha foto para entrar em um hospital ou clínica?";"Depende da finalidade. Se for para identificação de pacientes e acesso a áreas restritas (medicamentos controlados), a base legal é a ""tutela da saúde"" (Art. 11, II, ""f""). No entanto, se houver métodos alternativos menos invasivos (como cartão hospitalar + senha), a biometria pode ser questionável. A ambiguidade está em: o hospital pode recusar atendimento se você negar? Legalmente não, mas pode criar obstáculos operacionais.";"{'resposta': 'Não há obrigatoriedade legal de fornecimento de foto para ingresso em hospital ou clínica, pois o tratamento de dado biométrico (imagem facial) é dado pessoal sensível e só pode ocorrer com consentimento específico e destacado do titular ou em hipóteses taxativas da LGPD (Art. 11, I e II). O estabelecimento pode solicitar, mas o titular pode recusar, salvo se houver base legal específica (ex.: proteção da vida, tutela da saúde) devidamente informada e justificada.', 'resposta_completa': 'A imagem facial é considerada dado pessoal sensível (Art. 5º, II, LGPD). O tratamento só é permitido com consentimento específico e destacado do titular ou em hipóteses taxativas do Art. 11 da LGPD, como proteção da vida, tutela da saúde, cumprimento de obrigação legal, entre outras. Não existe lei que obrigue o paciente ou visitante a fornecer foto para acesso a hospital ou clínica. O estabelecimento pode solicitar, mas o titular pode recusar, salvo se houver base legal clara, informada e justificada, como situações de risco à saúde coletiva ou segurança, o que deve ser transparente e proporcional. O titular tem direito de saber a finalidade, duração e destino da imagem, podendo exigir eliminação após o uso (Art. 18, VI, LGPD).', 'chunks': [], 'trecho_chave': 'tratamento de dados pessoais sensíveis somente poderá ocorrer nas hipóteses taxativas do Art. 11 da LGPD (consentimento específico e destacado ou nas hipóteses de dispensa de consentimento previstas nos incisos I e II)', 'percentual': []}";"0.66";"0.59";"0.54";"0.69";"1.00";"1.00";"maritaca"
"grafo";"A empresa de telefonia pode vender a minha foto de cadastro?";"Não, a venda é proibida. Mas a ambiguidade está na ""anonymização"" - a empresa pode argumentar que vende ""dados estatísticos agregados"" que incluem imagens processadas por IA para análise de perfil demográfico. O Art. 7, § 4º permite tratamento para fins legítimos desde que não houver identificação do titular, mas a linha entre ""dados anonimizados"" e ""pseudonimizados"" é tênue.";"{'resposta': 'Não. A empresa de telefonia só pode compartilhar ou vender fotos de cadastro se houver consentimento específico, livre, informado e destacado do titular, vinculado a finalidade determinada, conforme Arts. 7º, I, 8º e 11, I da LGPD. Sem consentimento, a comercialização é vedada, pois a foto é dado pessoal sensível e o controlador deve proteger a privacidade do titular, sob pena de responsabilização civil e administrativa. O titular pode exigir transparência e acesso aos seus dados, além de revogar o consentimento a qualquer momento.', 'resposta_completa': 'A venda ou compartilhamento de fotos de cadastro por empresa de telefonia depende de consentimento específico, livre, informado e destacado do titular, vinculado a uma finalidade determinada, conforme Arts. 7º, I, 8º e 11, I da LGPD. Sem esse consentimento, a comercialização é vedada, pois a foto é considerada dado pessoal sensível (Art. 5º, II). O controlador tem obrigação de proteger a privacidade do titular, garantir transparência, permitir acesso e possibilitar a revogação do consentimento (Art. 18). A violação pode gerar responsabilização civil e administrativa.', 'chunks': ['a57ec09b', 'd157f57f', 'b47f4387', 'f9e4ad69'], 'trecho_chave': 'o tratamento de dados pessoais é permitido mediante fornecimento de consentimento pelo titular (Art. 7º, I)', 'percentual': ['40', '20', '20', '20']}";"0.85";"0.72";"0.54";"0.58";"1.00";"1.00";"maritaca"
"grafo";"Fui demitido. A empresa tem que apagar minha foto e digital do relógio de ponto e da catraca?";"A LGPD não é clara sobre prazos. O Art. 46 permite retenção para ""cumprimento de obrigação legal ou regulatória"" - o MTE exige arquivos de empregados por 5 anos após a rescisão. Mas e a digital biométrica? A empresa pode argumentar que precisa mantê-la por esse período ""para fins de auditoria"", mas a ANPD recomenda anonimização após o término da relação jurídica. A ambiguidade: por quanto tempo exatamente?";"{'resposta': 'Sim. Após a demissão, a empresa deve eliminar foto e dados biométricos do ex-funcionário do relógio de ponto e da catraca, pois o tratamento de dados pessoais deve cessar quando a finalidade (vínculo empregatício) deixa de existir, conforme Arts. 15, I, e 18, VI, da LGPD. A conservação só é permitida em hipóteses legais específicas, como obrigação regulatória, o que não se aplica ao caso. O titular pode solicitar a exclusão e o controlador tem obrigação de atender, salvo exceções legais.', 'chunks': ['f9e4ad69', '2c784e52'], 'trecho_chave': 'O controlador deve eliminar os dados pessoais tratados com o consentimento do titular, quando requisitado, exceto nas hipóteses do art. 16 da LGPD (Art. 18, VI).', 'percentual': ['60', '40']}";"0.92";"0.76";"0.36";"0.70";"1.00";"0.75";"maritaca"
"grafo";"Posso recusar o reconhecimento facial no condomínio onde moro?";"É ambíguo. Se o sistema foi aprovado em assembleia, o condomínio pode argumentar ""legítimo interesse coletivo de segurança"". Porém, como biometria é dado sensível, o Art. 11 exige consentimento ou outra base legal específica. O condomínio deve oferecer alternativa (cartão, senha), mas pode cobrar taxa extra por ""sistema alternativo de acesso""? A lei não proíbe explicitamente.";"{'resposta': 'Sim, você pode recusar o reconhecimento facial no condomínio, pois o tratamento de dados biométricos exige consentimento livre, informado e específico do titular, conforme o Art. 11, I, da LGPD. O condomínio deve respeitar sua negativa e oferecer alternativas de acesso, pois o consentimento é revogável e não pode ser imposto como condição obrigatória para moradia, salvo hipóteses legais excepcionais não aplicáveis ao caso.', 'chunks': ['b47f4387', 'e9106279'], 'trecho_chave': 'tratamento de dados pessoais sensíveis com consentimento específico e destacado do titular ou responsável legal, para finalidades específicas (Art. 11, I).', 'percentual': ['60', '40']}";"0.79";"0.56";"0.40";"0.74";"1.00";"1.00";"maritaca"
"grafo";"Minha escola pode exigir biometria dos meus filhos para entra na escola?";"Para menores, é necessário consentimento específico de um dos pais (Art. 14). Mas há uma brecha: se a escola argumentar ""interesse vital da criança"" (controle de alergias alimentares), pode se enquadrar no Art. 11, II ""f"". A ambiguidade: até que ponto a conveniência operacional da escola sobrepõe-se à privacidade do menor?";"{'resposta': 'A escola pode exigir biometria de crianças para controle de acesso apenas se obtiver consentimento específico e destacado dos pais ou responsáveis, conforme Art. 11, I, da LGPD, pois biometria é dado pessoal sensível. O tratamento deve ser limitado à finalidade de segurança, com transparência, medidas de proteção e possibilidade de revisão humana das decisões automatizadas, respeitando o melhor interesse da criança (Art. 14, LGPD). Sem consentimento válido, a exigência é ilegal.', 'chunks': ['b47f4387', '44589f1c', 'd864f83b', '49389041'], 'trecho_chave': 'tratamento de dados pessoais sensíveis com consentimento específico e destacado do titular ou responsável legal, para finalidades específicas (Art. 11, I).', 'percentual': ['40', '25', '20', '15']}";"0.70";"0.73";"0.55";"0.77";"1.00";"1.00";"maritaca"
"grafo";"Posso exigir que uma empresa apague minha biometria coletada antes da LGPD entrar em vigor?";"A LGPD não tem efeito retroativo (Art. 58), mas dados coletados antes de agosto/2020 ainda estão sendo tratados. A ambiguidade: a empresa precisa obter novo consentimento para continuar tratando dados antigos? A ANPD sugere ""adequação retroativa"", mas não há obrigatoriedade clara de reconsentimento.";"{'resposta': 'Sim, você pode exigir a eliminação de sua biometria armazenada, mesmo que coletada antes da vigência da LGPD, pois o art. 18, VI, da LGPD assegura ao titular o direito de solicitar a eliminação dos dados tratados com consentimento, e o art. 63 da mesma lei determina a adequação progressiva dos bancos de dados pré-existentes. O controlador deve eliminar os dados, salvo hipóteses legais de conservação previstas no art. 16 da LGPD, como obrigação legal ou regulatória.', 'resposta_completa': 'O titular dos dados pessoais pode solicitar formalmente a eliminação de sua biometria armazenada por empresa, mesmo que coletada antes da entrada em vigor da LGPD (15/02/2020), com base no art. 18, VI, da Lei 13.709/2018, que garante o direito à eliminação dos dados tratados com consentimento. O art. 63 da LGPD impõe a adequação progressiva dos bancos de dados constituídos antes da vigência da lei, considerando a natureza dos dados e a complexidade das operações. A obrigação de eliminação só é afastada nas hipóteses do art. 16, como cumprimento de obrigação legal ou regulatória, uso exclusivo do controlador (anonimizado) ou transferência a terceiros sob condições específicas. Portanto, salvo essas exceções, o titular pode exigir a exclusão, e o controlador deve atender ao pedido, sob pena de sanção administrativa pela ANPD.', 'chunks': ['f9e4ad69', '1e1714f2', '5cf8dbf1'], 'trecho_chave': 'Art. 18, VI: direito do titular à eliminação dos dados pessoais tratados com consentimento.', 'percentual': ['50', '30', '20']}";"0.63";"0.77";"0.48";"0.47";"1.00";"1.00";"maritaca"
"grafo";"Minha empresa usa biometria para controle de ponto. Posso exigir método alternativo por questões religiosas?";"O Art. 11 permite tratamento de dados sensíveis para ""prevenção à fraude"", mas a Constituição protege a liberdade religiosa (Art. 5º, VI). Se a biometria (impressão digital) é considerada ""marca do anticristo"" por algumas religiões, qual prevalece? A jurisprudência ainda é incipiente no Brasil.";"{'resposta': 'Sim, o funcionário pode exigir método alternativo ao controle biométrico de ponto por objeção religiosa. A biometria é dado pessoal sensível (Art. 5º, II, LGPD) e o tratamento deve respeitar direitos fundamentais, liberdade religiosa e não discriminação (Art. 6º, IX, LGPD). O controlador deve fornecer alternativa razoável, sem ônus ao colaborador, garantindo o livre exercício de direitos e evitando tratamento discriminatório ou excessivo. A empresa deve documentar a solicitação e adotar solução compatível com a finalidade do controle de jornada, preservando a privacidade e a dignidade do titular.', 'chunks': ['e9106279', '9c7da499'], 'trecho_chave': 'dados sobre convicção religiosa são pessoais sensíveis (Art. 5º, II) e o tratamento deve respeitar não discriminação (Art. 6º, IX)', 'percentual': ['60', '40']}";"0.83";"0.73";"0.54";"0.44";"1.00";"1.00";"maritaca"
"grafo";"O salão de beleza pode exigir minha foto antes e depois do procedimento estético?";"A empresa pode argumentar ""legítimo interesse"" para documentação médica/prova de resultado. Mas a ambiguidade: a foto pode ser usada em redes sociais do salão sem consentimento específico? O Art. 7º, IV permite tratamento para exercício de direitos, mas o Art. 5º, II inclui ""imagem"" como dado sensível quando vinculada a dados pessoais.";"{'resposta': 'O salão de beleza só pode exigir fotos antes e depois do procedimento se houver consentimento livre, informado e específico do cliente, conforme o Art. 7º, I, da LGPD. O consentimento deve ser vinculado a uma finalidade clara, como controle de qualidade, e o titular deve ser informado sobre como as imagens serão usadas, armazenadas e protegidas. Sem consentimento, a exigência é ilegal, pois a imagem é dado pessoal protegido pela LGPD. O titular pode revogar o consentimento a qualquer momento (Art. 18, IX).', 'chunks': ['a57ec09b', 'e9106279', 'd157f57f'], 'trecho_chave': 'o tratamento de dados pessoais é permitido mediante fornecimento de consentimento pelo titular (Art. 7º, I)', 'percentual': ['50', '30', '20']}";"0.74";"0.69";"0.54";"0.71";"1.00";"0.75";"maritaca"
"grafo";"Posso me recusar a fornecer biometria em um concurso público?";"O Art. 7º, II permite tratamento para ""execução de políticas públicas"", mas a biometria é dado sensível. Se o concurso é para cargo comum (não envolvendo segurança nacional), é proporcional? A administração pública pode argumentar ""prevenção à fraude"", mas o candidato pode alegar excesso.";"{'resposta': 'A recusa em fornecer biometria em concurso público pode ser justificada pelo direito à privacidade e proteção de dados sensíveis (Art. 5º, II, LGPD). O tratamento de dados biométricos exige consentimento específico e destacado (Art. 11, I, LGPD) ou outra base legal, como prevenção à fraude (Art. 11, II, g). Se o edital impuser a coleta sem alternativa e sem demonstrar finalidade legítima, o candidato pode questionar a obrigatoriedade e solicitar identificação alternativa, fundamentando-se na LGPD e no princípio da necessidade (Art. 6º, III).', 'chunks': ['e9106279', 'b47f4387', '9c7da499'], 'trecho_chave': 'tratamento de dados pessoais sensíveis somente poderá ocorrer nas hipóteses taxativas do Art. 11 da LGPD', 'percentual': ['40', '40', '20']}";"0.75";"0.54";"0.52";"0.66";"1.00";"1.00";"maritaca"
"grafo";"A academia pode exigir biometria para liberação de catraca?";"O contrato de adesão pode incluir essa cláusula, mas a LGPD prevalece sobre contratos (Art. 7º, § 3º). A academia precisa demonstrar ""necessidade"" - existe alternativa menos invasiva? Se sim, a exigência pode ser considerada abusiva.";"{'resposta': 'A exigência de biometria para liberação de catraca em academia de condomínio é permitida, desde que haja consentimento específico e destacado do titular, conforme Art. 11, I, da LGPD, pois biometria é dado pessoal sensível. O controlador deve informar claramente a finalidade, garantir segurança e permitir revogação do consentimento, respeitando direitos do titular. Sem consentimento válido, a exigência é irregular.', 'chunks': ['b47f4387', 'ffc54078'], 'trecho_chave': 'tratamento de dados pessoais sensíveis com consentimento específico e destacado do titular ou responsável legal, para finalidades específicas (Art. 11, I).', 'percentual': ['70', '30']}";"0.77";"0.70";"0.55";"0.52";"1.00";"1.00";"maritaca"
