"id";"type";"classes";"grounding";"question";"gold_answer";"llm_response";"has_rule";"rules_count";"has_context";"contexts_count";"complexity";"saf";"nli";"sim";"model"
"1";"grafo";":Article :LegalResource";"chapter I, article 1, point 1, chapter I, article 1, point 2";"What is the subject matter of Article 1 of the GDPR Regulation?";"Article 1 lays down rules relating to the protection of natural persons with regard to the processing of personal data and rules relating to the free movement of personal data.";"Article 1 of the GDPR establishes its **scope** as rules for the protection of natural persons regarding personal data processing and the **free movement** of such data within the EU. Key subject matters include: (1) fundamental rights protection (e.g., privacy) and (2) data transfer freedoms. The regulation’s core subject matter is defined by **Chapter I, Article 1, Point 1** and **Point 2**.";"1";"20";"1";"50";"2";"0.77";"0.58";"0.78";"ministral"
"2";"grafo";":OutsideMaterialScope :ExclusionException :Article";"chapter I, article 2, point 2c, chapter I, article 2, point 3";"What is the material scope of Article 2 of the GDPR Regulation?";"Article 2 of the GDPR Regulation applies to the processing of personal data wholly or partly by automated means and to the processing other than by automated means of personal data which form part of a filing system or are intended to form part of a filing system. It does not apply to the processing of personal data in the course of an activity which falls outside the scope of Union law, by the Member States when carrying out activities which fall within the scope of Chapter 2 of Title V of the TEU, by a natural person in the course of a purely personal or household activity, or by competent authorities for the purposes of the prevention, investigation, detection or prosecution of criminal offences or the execution of criminal penalties, including the safeguarding against and the prevention of threats to public security.";"The material scope of **Article 2 of GDPR** excludes **processing of personal data by purely personal or household activities** (e.g., private use) and **Union institutions' processing** governed by Regulation (EC) No 45/2001. It applies to automated/filing-system processing unless explicitly excluded.";"1";"20";"1";"32";"3";"0.94";"0.89";"0.71";"ministral"
"3";"grafo";":Processing :Article :PersonalData :DataSubject :Controller :Processor";"chapter I, article 3, point 2a, chapter I, article 3, point 2b";"To which processing activities does Article 3 of the GDPR Regulation apply when personal data of data subjects who are in the Union is processed by a controller or processor not established in the Union?";"Article 3 of the GDPR Regulation applies to the processing of personal data of data subjects who are in the Union by a controller or processor not established in the Union, where the processing activities are related to (a) the offering of goods or services, irrespective of whether a payment of the data subject is required, to such data subjects in the Union; or (b) the monitoring of their behaviour as far as their behaviour takes place within the Union.";"Article 3(2) of the GDPR applies to **offering goods/services to Union data subjects** (e.g., marketing, sales) **or monitoring their behavior within the Union**, regardless of whether the controller/processor is non-Union established. Processing activities explicitly listed include: (a) offering goods/services to Union data subjects, (b) monitoring behavior within the Union. No other processing activities are explicitly mentioned under this subparagraph.";"1";"12";"1";"50";"6";"0.76";"0.54";"0.85";"ministral"
"4";"grafo";":Processing :Article";"chapter I, article 4, point 2";"What is the definition of 'processing' according to Article 4 of the GDPR Regulation?";"'Processing' means any operation or set of operations which is performed on personal data or on sets of personal data, whether or not by automated means, such as collection, recording, organisation, structuring, storage, adaptation or alteration, retrieval, consultation, use, disclosure by transmission, dissemination or otherwise making available, alignment or combination, restriction, erasure or destruction.";"'Processing' under GDPR means any operation or set of operations performed on personal data or sets of personal data, whether automated or manual, including collection, recording, organisation, structuring, storage, adaptation, alteration, retrieval, consultation, use, disclosure by transmission, dissemination, alignment, combination, restriction, erasure, or destruction. Key snippet: ‘processing’ means any operation or set of operations which is performed on personal data or on sets of personal data, whether or not by automated means, such as collection, recording, organisation, structuring, storage, adaptation or alteration, retrieval, consultation, use, disclosure by transmission, dissemination or otherwise making available, alignment or combination, restriction, erasure or destruction.";"1";"13";"1";"50";"2";"0.91";"0.58";"0.79";"ministral"
"5";"grafo";":CrossBorderTransfer :Processing :Article";"chapter I, article 4, point 23, chapter I, article 4, point 23a, chapter I, article 4, point 23b";"What is the definition of 'cross-border processing' according to Article 4?";"Either processing of personal data which takes place in the context of the activities of establishments in more than one Member State of a controller or processor in the Union where the controller or processor is established in more than one Member State; or processing of personal data which takes place in the context of the activities of a single establishment of a controller or processor in the Union but which substantially affects or is likely to substantially affect data subjects in more than one Member State.";"'cross-border processing' under GDPR (Article 4) includes: (1) processing by establishments in multiple Member States of a controller/processor; (2) processing by a single establishment affecting data subjects in multiple Member States. Key snippet: ‘cross-border processing’ means either processing of personal data which takes place in the context of the activities of establishments in more than one Member State of a controller or processor in the Union where the controller or processor is established in more than one Member State; or processing of personal data which takes place in the context of the activities of a single establishment of a controller or processor in the Union but which substantially affects or is likely to substantially affect data subjects in more than one Member State.’";"1";"13";"1";"50";"3";"0.93";"0.99";"0.86";"ministral"
"6";"grafo";":Principle :Processing :PersonalData :Article";"chapter_II_article_5_point_1a, chapter_II_article_5_point_1b, chapter_II_article_5_point_1c, chapter_II_article_5_point_1d, chapter_II_article_5_point_1e, chapter_II_article_5_point_1f";"What are the six principles relating to processing of personal data according to Article 5?";"The six principles relating to processing of personal data according to Article 5 are: (a) processed lawfully, fairly and in a transparent manner in relation to the data subject (‘lawfulness, fairness and transparency’); (b) collected for specified, explicit and legitimate purposes and not further processed in a manner that is incompatible with those purposes (‘purpose limitation’); (c) adequate, relevant and limited to what is necessary in relation to the purposes for which they are processed (‘data minimisation’); (d) accurate and, where necessary, kept up to date (‘accuracy’); (e) kept in a form which permits identification of data subjects for no longer than is necessary for the purposes for which the personal data are processed (‘storage limitation’); and (f) processed in a manner that ensures appropriate security of the personal data, including protection against unauthorised or unlawful processing and against accidental loss, destruction or damage, using appropriate technical or organisational measures (‘integrity and confidentiality’).";"The six principles from **Article 5 GDPR** are:     1. **Lawfulness, fairness, transparency** (1a);     2. **Purpose limitation** (1b);     3. **Data minimisation** (1c);     4. **Accuracy** (1d);     5. **Storage limitation** (1e);     6. **Integrity and confidentiality** (1f).     Key snippet: *‘Personal data shall be: processed lawfully, fairly and in a transparent manner... kept in a form which permits identification... processed in a manner that ensures appropriate security.’*";"1";"13";"1";"50";"4";"0.67";"0.86";"0.81";"ministral"
"7";"grafo";":PersonalData :Processing :LawfulBasisForProcessing :LawfulnessFairnessAndTransparency";"chapter_ii_article_6_point_1, chapter_ii_article_9_point_2_A_I";"Under what circumstances is processing of personal data considered lawful according to Article 6?";"Processing of personal data is considered lawful if at least one of the following applies: (a) the data subject has given consent to the processing of his or her personal data for one or more specific purposes; (b) processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract; (c) processing is necessary for compliance with a legal obligation to which the controller is subject; (d) processing is necessary in order to protect the vital interests of the data subject or of another natural person; (e) processing is necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller; (f) processing is necessary for the purposes of the legitimate interests pursued by the controller or by a third party, except where such interests are overridden by the interests or fundamental rights and freedoms of the data subject which require protection of personal data, in particular where the data subject is a child.";"Processing of personal data under **Article 6(1)** of GDPR is lawful if it complies with at least one of the following conditions: explicit consent (1a), necessity for contract execution (1b), compliance with legal obligations (1c), performance of official tasks (1e), vital interests protection (1d), or legitimate interests pursued by the controller (1f), except where overriding rights of data subjects are violated. Special categories require explicit consent, vital interests, public health, employment/social security, or public interest (Article 9).";"1";"25";"1";"50";"4";"0.89";"0.86";"0.71";"ministral"
"8";"grafo";":Consent :DataSubject :ObtainingConsent :ObligationForObtainingConsent :ShouldBeDistinguishableFromOtherMatters :ValidConsent :Controller";"chapter II, article 7, point 2";"What should the request for consent be presented as, if the data subject's consent is given in the context of a written declaration which also concerns other matters?";"The request for consent shall be presented in a manner which is clearly distinguishable from the other matters, in an intelligible and easily accessible form, using clear and plain language.";"The consent request **must be presented in a clearly distinguishable, intelligible, and easily accessible manner** using clear and plain language, separated from other matters in the written declaration. This ensures the data subject’s consent is valid and distinguishable from other clauses. Rule: **Chapter II, Article 7, Point 2**";"1";"31";"1";"50";"7";"0.81";"0.55";"0.75";"ministral"
"9";"grafo";":PersonalData :Processing :DataSubject :LawfulBasisForProcessing";"chapter_ii_article_8_point_1, chapter_ii_article_8_point_2";"Under what conditions is the processing of personal data of a child lawful in relation to the offer of information society services directly to a child according to Article 8?";"The processing of personal data of a child shall be lawful where the child is at least 16 years old. Where the child is below the age of 16 years, such processing shall be lawful only if and to the extent that consent is given or authorised by the holder of parental responsibility over the child. Member States may provide by law for a lower age for those purposes provided that such lower age is not below 13 years.";"The processing of personal data of a child for information society services is lawful **only if the child is at least 16 years old** or if consent is given or authorized by the holder of parental responsibility when the child is below 16. The controller must verify parental consent reasonably, using available technology. **Article 8(1), point 1**";"1";"25";"1";"50";"4";"0.72";"0.54";"0.69";"ministral"
"10";"grafo";":SensitivePersonalData :Processing :LawfulBasisForProcessing :PersonalData :Obligation :DataSubject";"chapter II, article 9, point 1, chapter II, article 9, point 2A, chapter II, article 9, point 2B, chapter II, article 9, point 2C, chapter II, article 9, point 2D, chapter II, article 9, point 2E, chapter II, article 9, point 2F, chapter II, article 9, point 2G, chapter II, article 9, point 2H, chapter II, article 9, point 2I, chapter II, article 9, point 2J, chapter IX, article 88";"Under what circumstances is processing of personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, or trade union membership allowed?";"Processing of personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, or trade union membership is allowed if the data subject has given explicit consent to the processing of those personal data for one or more specified purposes, except where Union or Member State law provide that the prohibition referred to in paragraph 1 may not be lifted by the data subject; processing is necessary for the purposes of carrying out the obligations and exercising specific rights of the controller or of the data subject in the field of employment and social security and social protection law in so far as it is authorised by Union or Member State law or a collective agreement pursuant to Member State law providing for appropriate safeguards for the fundamental rights and the interests of the data subject; processing is necessary to protect the vital interests of the data subject or of another natural person where the data subject is physically or legally incapable of giving consent; processing is carried out in the course of its legitimate activities with appropriate safeguards by a foundation, association or any other not-for-profit body with a political, philosophical, religious or trade union aim and on condition that the processing relates solely to the members or to former members of the body or to persons who have regular contact with it in connection with its purposes and that the personal data are not disclosed outside that body without the consent of the data subjects; processing relates to personal data which are manifestly made public by the data subject; processing is necessary for the establishment, exercise or defence of legal claims or whenever courts are acting in their judicial capacity; processing is necessary for reasons of substantial public interest, on the basis of Union or Member State law which shall be proportionate to the aim pursued, respect the essence of the right to data protection and provide for suitable and specific measures to safeguard the fundamental rights and the interests of the data subject; processing is necessary for reasons of public interest in the area of public health, such as protecting against serious cross-border threats to health or ensuring high standards of quality and safety of health care and of medicinal products or medical devices, on the basis of Union or Member State law which provides for suitable and specific measures to safeguard the rights and freedoms of the data subject, in particular professional secrecy; processing is necessary for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes in accordance with Article 89(1) based on Union or Member State law which shall be proportionate to the aim pursued, respect the essence of the right to data protection and provide for suitable and specific measures to safeguard the fundamental rights and the interests of the data subject.";"Processing of sensitive personal data (racial/ethnic origin, political opinions, religious beliefs, trade union membership) is prohibited **unless** one of the following valid legal bases applies: explicit consent (Rule_Article9_2_A), employment/social security obligations (Rule_Article9_2_B), vital interests protection (Rule_Article9_2_C), not-for-profit bodies with safeguards (Rule_Article9_2_D), manifestly made public by data subject (Rule_Article9_2_E), legal claims (Rule_Article9_2_F), substantial public interest (Rule_Article9_2_G), preventive/occupational medicine (Rule_Article9_2_H), public health (Rule_Article9_2_I), or archiving/research/statistical purposes (Rule_Article9_2_J).";"1";"25";"1";"50";"6";"0.71";"0.31";"0.65";"ministral"
