"type";"question";"complexity";"saf";"nli";"sim";"response_llm";"model"
"grafo";"Fui demitido. A empresa tem que apagar minha foto e digital do relógio de ponto e da catraca?";"0.82";"0.65";"0.54";"0.73";"{'resposta': 'Após a demissão, a empresa deve eliminar dados biométricos e fotográficos do ex-funcionário, pois a finalidade do tratamento se encerrou. A LGPD exige a exclusão desses dados, salvo obrigação legal de mantê-los. Trecho-chave: ""Os dados pessoais serão eliminados após o término de seu tratamento"".', 'resposta_completa': 'A Lei Geral de Proteção de Dados (LGPD) determina que, após o término do vínculo empregatício, a empresa deve eliminar os dados pessoais do ex-funcionário, incluindo biometria e foto utilizados em sistemas de ponto e catraca, pois a finalidade do tratamento se encerrou. A exceção ocorre apenas se houver obrigação legal ou regulatória que justifique a manutenção desses dados. O artigo 16 da LGPD é claro ao afirmar: ""Os dados pessoais serão eliminados após o término de seu tratamento, no âmbito e nos limites técnicos das atividades, autorizada a conservação para as seguintes finalidades: I - cumprimento de obrigação legal ou regulatória pelo controlador"". Portanto, a empresa deve proceder à exclusão dos dados biométricos e fotográficos, salvo se houver justificativa legal para sua retenção.', 'chunks': ['5cf8dbf1', 'e9106279'], 'trecho_chave': 'Os dados pessoais serão eliminados após o término de seu tratamento'}";"maritaca"
"grafo";"Posso me recusar a dar minha digital para o relógio de ponto da empresa?";"0.76";"0.65";"0.00";"0.49";"{'resposta': 'O fornecimento de dado biométrico, como a digital para relógio de ponto, é considerado tratamento de dado pessoal sensível. Segundo a LGPD, só pode ocorrer com consentimento específico do titular ou em hipóteses legais, como prevenção à fraude, desde que não viole direitos fundamentais.', 'resposta_completa': 'A coleta de biometria (impressão digital) para controle de ponto configura tratamento de dado pessoal sensível, conforme art. 5º, II, da LGPD. O art. 11 da LGPD exige consentimento específico e destacado do titular, salvo hipóteses legais, como prevenção à fraude e segurança em processos de identificação (art. 11, II, g). Contudo, mesmo nesses casos, a empresa deve demonstrar a real necessidade, garantir transparência e respeitar direitos fundamentais do titular. O titular pode recusar o fornecimento, especialmente se não houver justificativa legal clara, e deve ser informado sobre as consequências da recusa. O controlador deve garantir a proteção dos dados e observar os direitos do titular, inclusive quanto à liberdade, intimidade e privacidade.', 'chunks': ['b47f4387', 'e9106279'], 'trecho_chave': 'Art. 11 O tratamento de dados pessoais sensíveis somente poderá ocorrer nas seguintes hipóteses: I - quando o titular ou seu responsável legal consentir, de forma específica e destacada, para finalidades específicas; ... ou g) garantia da prevenção à fraude e à segurança do titular, nos processos de identificação e autenticação de cadastro em sistemas eletrônicos, resguardados os direitos mencionados no art. 9º desta Lei e exceto no caso de prevalecerem direitos e liberdades fundamentais do titular que exijam a proteção dos dados pessoais.', 'percentual': ['80', '20']}";"maritaca"
"grafo";"A empresa pode usar minha foto do crachá em campanhas publicitárias sem pedir minha autorização?";"0.87";"0.95";"0.54";"0.50";"{'resposta': 'A utilização da foto do crachá do funcionário em campanhas publicitárias da empresa exige consentimento prévio, livre, informado e inequívoco do titular, conforme a definição de dado pessoal e consentimento prevista na legislação. O uso sem autorização viola direitos fundamentais de liberdade, intimidade e privacidade do titular.', 'resposta_completa': 'A foto do crachá é considerada dado pessoal, pois permite identificar o titular. Segundo a legislação, o tratamento de dados pessoais, incluindo sua utilização em campanhas publicitárias, depende de consentimento do titular, que deve ser livre, informado e inequívoco, para finalidade determinada. O uso sem autorização pode configurar violação dos direitos fundamentais de liberdade, intimidade e privacidade do titular, conforme previsto nas regras e nos conceitos legais. Portanto, a empresa não pode utilizar a imagem do funcionário em material publicitário sem obter o consentimento específico para essa finalidade.', 'chunks': ['e9106279', '4d9abb51'], 'trecho_chave': 'consentimento: manifestação livre, informada e inequívoca pela qual o titular concorda com tratamento de seus dados pessoais para uma finalidade determinada', 'percentual': ['70', '30']}";"maritaca"
"grafo";"Meu empregador instalou câmera apontada diretamente para minha mesa. Isso é permitido?";"0.76";"0.61";"0.54";"0.59";"{'resposta': 'A instalação de câmera direcionada à mesa do colaborador deve respeitar direitos fundamentais de privacidade, intimidade e imagem, conforme a LGPD. O monitoramento individualizado só é legítimo se houver justificativa clara, proporcionalidade e transparência ao titular dos dados.', 'resposta_completa': 'A instalação de câmeras de monitoramento diretamente voltadas para o posto de trabalho do colaborador envolve o tratamento de dados pessoais, especialmente imagens, e está sujeita à Lei Geral de Proteção de Dados (LGPD). Segundo o art. 2º da LGPD, são fundamentos da proteção de dados o respeito à privacidade, à inviolabilidade da intimidade, da honra e da imagem. O monitoramento individualizado só pode ser realizado se houver justificativa legítima, observando-se os princípios da necessidade, finalidade e proporcionalidade. O empregador deve informar claramente ao colaborador sobre a finalidade do monitoramento, garantir a segurança das imagens e evitar excessos que possam violar direitos fundamentais. O uso inadequado pode ser considerado invasivo e gerar responsabilização.', 'chunks': ['941201b9', 'b9aa2a08'], 'trecho_chave': 'Art. 2º A disciplina da proteção de dados pessoais tem como fundamentos: I - o respeito à privacidade; ... IV - a inviolabilidade da intimidade, da honra e da imagem;', 'percentual': ['80', '20']}";"maritaca"
"grafo";"A empresa pode instalar câmera no banheiro ou vestiário alegando segurança?";"0.78";"0.78";"0.54";"0.57";"{'resposta': 'A instalação de câmeras em banheiros ou vestiários, mesmo sob alegação de segurança, viola princípios da LGPD, como necessidade, adequação e respeito à privacidade. O trecho-chave destaca: ""limitação do tratamento ao mínimo necessário para a realização de suas finalidades"".', 'resposta_completa': 'A instalação de câmeras de monitoramento em banheiros ou vestiários por empresas, ainda que sob justificativa de segurança, afronta princípios fundamentais da Lei Geral de Proteção de Dados (LGPD), especialmente os princípios da necessidade, adequação e respeito à privacidade. O artigo 6º da LGPD determina que o tratamento de dados pessoais deve ser limitado ao mínimo necessário para a realização de suas finalidades, sendo vedado o tratamento excessivo ou desproporcional. A captação de imagens em ambientes íntimos, como banheiros e vestiários, configura violação à privacidade e à dignidade dos titulares, não se justificando nem mesmo por razões de segurança. Portanto, tal prática é incompatível com a legislação vigente.', 'chunks': ['9c7da499'], 'trecho_chave': 'limitação do tratamento ao mínimo necessário para a realização de suas finalidades, com abrangência dos dados pertinentes, proporcionais e não excessivos em relação às finalidades do tratamento de dados'}";"maritaca"
"grafo";"Posso exigir que a academia apague minha digital depois que cancelo a matrícula?";"0.78";"0.64";"0.54";"0.65";"{'resposta': 'A academia deve excluir sua digital após o cancelamento da matrícula, mediante solicitação formal, conforme a LGPD. O art. 5º define dado biométrico como sensível e o art. 60 garante a exclusão definitiva ao término da relação, salvo obrigação legal de retenção.', 'resposta_completa': 'A Lei Geral de Proteção de Dados (LGPD) classifica a digital como dado pessoal sensível (art. 5º, II). Após o encerramento do vínculo contratual, o titular pode solicitar formalmente a exclusão desses dados. O art. 60 da LGPD, ao alterar o Marco Civil da Internet, garante a exclusão definitiva dos dados pessoais fornecidos, a pedido do titular, ao término da relação, salvo hipóteses de guarda obrigatória previstas em lei. Portanto, a academia é obrigada a eliminar sua digital do sistema, exceto se houver obrigação legal de manter o dado por determinado período. O direito à exclusão está diretamente relacionado à proteção da privacidade e à titularidade dos dados, sendo a solicitação formal do ex-aluno suficiente para exigir a eliminação, salvo exceções legais expressas.', 'chunks': ['e9106279', 'f1ac48cc'], 'trecho_chave': '""X - exclusão definitiva dos dados pessoais que tiver fornecido a determinada aplicação de internet, a seu requerimento, ao término da relação entre as partes, ressalvadas as hipóteses de guarda obrigatória de registros previstas nesta Lei e na que dispõe sobre a proteção de dados pessoais;""', 'percentual': ['60', '40']}";"maritaca"
"grafo";"O condomínio pode obrigar moradores a cadastrar o rosto no sistema de reconhecimento facial para entrar?";"0.87";"0.85";"0.88";"0.66";"{'resposta': 'O cadastro obrigatório do rosto no sistema de reconhecimento facial para acesso ao condomínio envolve tratamento de dado biométrico, considerado sensível pela LGPD. Tal tratamento exige consentimento específico do titular, salvo exceções legais, conforme art. 11 da LGPD.', 'resposta_completa': 'O reconhecimento facial para controle de acesso ao condomínio implica coleta e tratamento de dados biométricos, classificados como dados pessoais sensíveis pela LGPD (art. 5º, II). O tratamento desses dados só pode ocorrer mediante consentimento específico e destacado do titular, para finalidades determinadas (art. 11, I). Exceções existem, como para proteção da vida ou prevenção à fraude, mas a obrigatoriedade geral do cadastro sem consentimento não encontra respaldo legal para condomínios residenciais. O condomínio deve garantir transparência, informar as finalidades, e respeitar os direitos dos titulares, inclusive o direito de não consentir e conhecer as consequências dessa recusa. O trecho-chave é: ""Art. 11 O tratamento de dados pessoais sensíveis somente poderá ocorrer nas seguintes hipóteses: I - quando o titular ou seu responsável legal consentir, de forma específica e destacada, para finalidades específicas"".', 'chunks': ['b47f4387', 'e9106279'], 'trecho_chave': 'Art. 11 O tratamento de dados pessoais sensíveis somente poderá ocorrer nas seguintes hipóteses: I - quando o titular ou seu responsável legal consentir, de forma específica e destacada, para finalidades específicas;', 'percentual': ['80', '20']}";"maritaca"
"grafo";"Sou obrigado a dar minha biometria/foto para entrar em um hospital ou clínica?";"0.78";"0.99";"0.54";"0.57";"{'resposta': 'A coleta de biometria ou foto para acesso a hospital ou clínica envolve tratamento de dados pessoais sensíveis, exigindo consentimento específico do titular, salvo hipóteses legais como proteção da vida ou tutela da saúde. O titular tem direito a informações claras sobre o uso desses dados.', 'resposta_completa': 'A exigência de biometria ou foto para ingresso em hospital ou clínica configura tratamento de dados pessoais sensíveis, conforme art. 5º, II, da LGPD. O tratamento só pode ocorrer com consentimento específico do titular, salvo exceções legais, como proteção da vida, tutela da saúde ou segurança do titular (art. 11, I e II, LGPD). O titular deve receber informações claras sobre finalidade, duração e responsáveis pelo tratamento (art. 9º, LGPD). Portanto, a obrigatoriedade só se justifica se houver base legal clara e comunicação transparente ao titular, respeitando seus direitos fundamentais de liberdade, intimidade e privacidade.', 'chunks': ['e9106279', 'b47f4387', 'ffc54078'], 'trecho_chave': 'Art. 11 O tratamento de dados pessoais sensíveis somente poderá ocorrer nas seguintes hipóteses: I - quando o titular ou seu responsável legal consentir, de forma específica e destacada, para finalidades específicas'}";"maritaca"
"grafo";"A empresa pode compartilhar meu exame médico admissional com o meu gestor direto?";"0.64";"0.95";"0.56";"0.60";"{'resposta': 'O exame médico admissional contém dados pessoais sensíveis, especialmente informações sobre saúde, conforme art. 5º, II. O compartilhamento com o gestor direto só pode ocorrer se limitado à informação sobre aptidão ou restrições, respeitando os princípios de necessidade e finalidade (art. 6º).', 'resposta_completa': 'O exame médico admissional é considerado dado pessoal sensível, pois envolve informações sobre saúde do empregado, conforme art. 5º, II da LGPD. O compartilhamento integral do exame com o gestor direto não é permitido, salvo se houver consentimento explícito do titular ou se a comunicação se limitar à informação sobre aptidão ou restrições para o trabalho, respeitando os princípios de necessidade, finalidade e adequação previstos no art. 6º. Assim, a empresa pode informar ao gestor apenas se o empregado está apto ou se há restrições, sem detalhar o conteúdo do exame, garantindo a proteção da privacidade e dos dados sensíveis do trabalhador.', 'chunks': ['e9106279', '9c7da499'], 'trecho_chave': 'II - dado pessoal sensível: dado pessoal sobre [...] dado referente à saúde [...] Art. 6º As atividades de tratamento de dados pessoais deverão observar a boa-fé e os seguintes princípios: I - finalidade [...] III - necessidade: limitação do tratamento ao mínimo necessário para a realização de suas finalidades', 'percentual': ['60', '40']}";"maritaca"
"grafo";"Posso ser demitido por me recusar a fornecer dados biométricos para um novo sistema da empresa?";"0.62";"0.83";"0.54";"0.47";"{'resposta': 'A exigência de dados biométricos envolve tratamento de dado pessoal sensível, que depende de consentimento livre e informado do titular. O empregado deve ser informado sobre a possibilidade de não fornecer consentimento e as consequências da recusa, conforme a LGPD.', 'resposta_completa': 'A Lei Geral de Proteção de Dados (LGPD) classifica dados biométricos como dados pessoais sensíveis, exigindo consentimento explícito do titular para seu tratamento. O artigo 18 da LGPD garante ao titular o direito de ser informado sobre a possibilidade de não fornecer consentimento e as consequências dessa negativa. Assim, a empresa deve informar claramente ao empregado sobre as finalidades do uso dos dados biométricos e as consequências da recusa. A demissão por justa causa, em razão da recusa, só seria possível se o fornecimento do dado biométrico fosse estritamente necessário para a execução do contrato de trabalho e não houvesse alternativa menos invasiva. Caso contrário, a dispensa pode ser considerada abusiva ou discriminatória.', 'chunks': ['e9106279', 'f9e4ad69'], 'trecho_chave': 'II - dado pessoal sensível: dado pessoal sobre [...] dado genético ou biométrico, quando vinculado a uma pessoa natural; [...] VIII - informação sobre a possibilidade de não fornecer consentimento e sobre as consequências da negativa;', 'percentual': ['60', '40']}";"maritaca"
