"id";"type";"question";"gold_answer";"llm_response";"complexity";"saf";"nli";"sim";"relevancy";"faithfulness";"model"
"1";"grafo";"What is the subject matter of Article 1 of the GDPR Regulation?";"Article 1 lays down rules relating to the protection of natural persons with regard to the processing of personal data and rules relating to the free movement of personal data.";"{'answer': ""Article 1 of the GDPR sets out the regulation's subject matter: it lays down rules for the protection of natural persons regarding the processing of personal data and rules for the free movement of such data within the Union. It also states that the regulation protects fundamental rights and freedoms, especially the right to data protection, and that the free movement of personal data shall not be restricted for these reasons."", 'full_answer': 'According to the GDPR text, Article 1 defines the scope and purpose of the regulation. It establishes that the GDPR governs the processing of personal data and the free movement of such data in the EU. It emphasizes the protection of fundamental rights and freedoms of natural persons, particularly the right to data protection. Furthermore, Article 1 clarifies that the free movement of personal data should not be restricted or prohibited due to data protection concerns, ensuring both protection and free flow are balanced.', 'key_snippet': 'This Regulation lays down rules relating to the protection of natural persons with regard to the processing of personal data', 'chunks': ['chapter I, article 1, point 1', 'chapter I, article 1, point 2'], 'percentage': ['60', '40']}";"0.54";"0.89";"0.56";"0.73";"0.00";"0.00";"maritaca"
"2";"grafo";"What is the material scope of Article 2 of the GDPR Regulation?";"Article 2 of the GDPR Regulation applies to the processing of personal data wholly or partly by automated means and to the processing other than by automated means of personal data which form part of a filing system or are intended to form part of a filing system. It does not apply to the processing of personal data in the course of an activity which falls outside the scope of Union law, by the Member States when carrying out activities which fall within the scope of Chapter 2 of Title V of the TEU, by a natural person in the course of a purely personal or household activity, or by competent authorities for the purposes of the prevention, investigation, detection or prosecution of criminal offences or the execution of criminal penalties, including the safeguarding against and the prevention of threats to public security.";"{'answer': 'Article 2 of the GDPR defines its material scope: it applies to processing of personal data wholly or partly by automated means, and to non-automated processing if the data form or are intended to form part of a filing system. It does not apply to processing by Member States in activities outside Union law, or by Union institutions under separate rules (Regulation 45/2001). The regulation governs controllers and processors, individuals and legal entities, within and beyond the EU when targeting or monitoring data subjects in the Union.', 'full_answer': 'Article 2 establishes the material scope of the GDPR. According to Article 2(1), the regulation applies to the processing of personal data, whether wholly or partly by automated means, and to non-automated processing if the data are part of, or intended to be part of, a filing system. Article 2(2) lists exclusions: it does not apply to processing by Member States in activities outside Union law, or when carrying out activities falling under Title V, Chapter 2 of the TEU (related to police and criminal matters), and for processing by Union institutions, which is governed by Regulation 45/2001. The GDPR thus covers both controllers and processors, natural and legal persons, and applies extraterritorially when processing relates to data subjects in the Union. The scope is broad but not absolute, with specific carve-outs for certain public and Union-level activities.', 'key_snippet': 'This Regulation applies to the processing of personal data wholly or partly by automated means and to the processing other than by automated means of personal data which form part of a filing system or are intended to form part of a filing system.', 'chunks': ['chapter I, article 2, point 1', 'chapter I, article 2, point 2'], 'percentage': ['60', '40']}";"0.72";"0.63";"0.37";"0.78";"0.00";"0.00";"maritaca"
"3";"grafo";"To which processing activities does Article 3 of the GDPR Regulation apply when personal data of data subjects who are in the Union is processed by a controller or processor not established in the Union?";"Article 3 of the GDPR Regulation applies to the processing of personal data of data subjects who are in the Union by a controller or processor not established in the Union, where the processing activities are related to (a) the offering of goods or services, irrespective of whether a payment of the data subject is required, to such data subjects in the Union; or (b) the monitoring of their behaviour as far as their behaviour takes place within the Union.";"{'answer': 'Article 3 of the GDPR applies when a controller or processor not established in the Union processes personal data of data subjects in the Union if the processing relates to (a) offering goods or services to such data subjects, regardless of payment, or (b) monitoring their behaviour within the Union. This is the extraterritorial scope rule for non-EU controllers/processors targeting EU residents.', 'full_answer': 'According to Article 3(2) of the GDPR, the Regulation applies to processing of personal data of data subjects in the Union by a controller or processor not established in the Union if the processing activities are related to: (a) the offering of goods or services, irrespective of payment, to data subjects in the Union; or (b) the monitoring of their behaviour as far as their behaviour takes place within the Union. This means that even non-EU entities must comply with GDPR if they target or monitor individuals in the EU, regardless of whether they have an establishment in the Union.', 'key_snippet': 'offering of goods or services...to such data subjects in the Union; or the monitoring of their behaviour', 'chunks': ['chapter I, article 3, point 2a', 'chapter I, article 3, point 2b'], 'percentage': ['50', '50']}";"0.57";"0.68";"0.55";"0.88";"0.00";"0.00";"maritaca"
"4";"grafo";"What is the definition of 'processing' according to Article 4 of the GDPR Regulation?";"'Processing' means any operation or set of operations which is performed on personal data or on sets of personal data, whether or not by automated means, such as collection, recording, organisation, structuring, storage, adaptation or alteration, retrieval, consultation, use, disclosure by transmission, dissemination or otherwise making available, alignment or combination, restriction, erasure or destruction.";"{'answer': ""According to Article 4(2) of the GDPR, 'processing' means any operation or set of operations performed on personal data, whether or not by automated means, such as collection, recording, organisation, structuring, storage, adaptation, alteration, retrieval, consultation, use, disclosure, dissemination, or otherwise making available, alignment, combination, restriction, erasure, or destruction."", 'full_answer': ""Article 4 of the GDPR provides definitions for key terms used throughout the regulation. Point 2 of Article 4 specifically defines 'processing' in a broad and inclusive manner, covering virtually any action taken with personal data. This definition is essential for understanding the scope of the GDPR, as it clarifies that even simple actions like storing or consulting data constitute processing and are therefore subject to the regulation's requirements. The definition is exhaustive and includes both manual and automated operations."", 'key_snippet': ""'processing' means any operation or set of operations which is performed on personal data or on sets of personal data, whether or not by automated means, such as collection, recording, organisation, structuring, storage, adaptation or alteration, retrieval, consultation, use, disclosure by transmission, dissemination or otherwise making available, alignment or combination, restriction, erasure or destruction;"", 'chunks': ['chapter I, article 4, point 2'], 'percentage': ['100']}";"0.66";"0.91";"0.55";"0.75";"0.00";"0.00";"maritaca"
"5";"grafo";"What is the definition of 'cross-border processing' according to Article 4?";"Either processing of personal data which takes place in the context of the activities of establishments in more than one Member State of a controller or processor in the Union where the controller or processor is established in more than one Member State; or processing of personal data which takes place in the context of the activities of a single establishment of a controller or processor in the Union but which substantially affects or is likely to substantially affect data subjects in more than one Member State.";"{'answer': ""'Cross-border processing' means either (a) processing in the context of establishments in more than one Member State of a controller or processor in the Union, or (b) processing by a single establishment that substantially affects data subjects in more than one Member State, as defined in Article 4, point 23."", 'full_answer': ""According to Article 4, point 23, 'cross-border processing' is defined in two alternative ways: (a) processing of personal data which takes place in the context of the activities of establishments in more than one Member State of a controller or processor in the Union where the controller or processor is established in more than one Member State; or (b) processing of personal data which takes place in the context of the activities of a single establishment in the Union but which substantially affects or is likely to substantially affect data subjects in more than one Member State. These two definitions cover both multi-establishment and single-establishment scenarios with cross-border impact."", 'key_snippet': '‘cross-border processing’ means either:', 'chunks': ['chapter I, article 4, point 23', 'chapter I, article 4, point 23a', 'chapter I, article 4, point 23b'], 'percentage': ['40', '30', '30']}";"0.63";"0.80";"0.85";"0.72";"0.00";"0.00";"maritaca"
"6";"grafo";"What are the six principles relating to processing of personal data according to Article 5?";"The six principles relating to processing of personal data according to Article 5 are: (a) processed lawfully, fairly and in a transparent manner in relation to the data subject (‘lawfulness, fairness and transparency’); (b) collected for specified, explicit and legitimate purposes and not further processed in a manner that is incompatible with those purposes (‘purpose limitation’); (c) adequate, relevant and limited to what is necessary in relation to the purposes for which they are processed (‘data minimisation’); (d) accurate and, where necessary, kept up to date (‘accuracy’); (e) kept in a form which permits identification of data subjects for no longer than is necessary for the purposes for which the personal data are processed (‘storage limitation’); and (f) processed in a manner that ensures appropriate security of the personal data, including protection against unauthorised or unlawful processing and against accidental loss, destruction or damage, using appropriate technical or organisational measures (‘integrity and confidentiality’).";"{'answer': 'According to Article 5, personal data must be processed in accordance with six principles: lawfulness, fairness and transparency; purpose limitation; data minimisation; accuracy; storage limitation; and integrity and confidentiality. These principles are explicitly listed in Article 5(1)(a) to (f).', 'full_answer': 'Article 5(1) of the GDPR sets out six core principles for processing personal data. These are: (a) lawfulness, fairness and transparency; (b) purpose limitation (data collected for specified, explicit and legitimate purposes); (c) data minimisation (adequate, relevant and limited to what is necessary); (d) accuracy (kept accurate and up to date); (e) storage limitation (kept only as long as necessary); and (f) integrity and confidentiality (processed securely). These principles form the foundation for lawful data processing under the Regulation.', 'key_snippet': 'Personal data shall be: (a) processed lawfully, fairly and in a transparent manner', 'chunks': ['chapter II, article 5, point 1a', 'chapter II, article 5, point 1b', 'chapter II, article 5, point 1c', 'chapter II, article 5, point 1d', 'chapter II, article 5, point 1e', 'chapter II, article 5, point 1f'], 'percentage': ['17', '17', '17', '17', '16', '16']}";"0.47";"0.38";"0.99";"0.82";"0.00";"0.00";"maritaca"
"7";"grafo";"Under what circumstances is processing of personal data considered lawful according to Article 6?";"Processing of personal data is considered lawful if at least one of the following applies: (a) the data subject has given consent to the processing of his or her personal data for one or more specific purposes; (b) processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract; (c) processing is necessary for compliance with a legal obligation to which the controller is subject; (d) processing is necessary in order to protect the vital interests of the data subject or of another natural person; (e) processing is necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller; (f) processing is necessary for the purposes of the legitimate interests pursued by the controller or by a third party, except where such interests are overridden by the interests or fundamental rights and freedoms of the data subject which require protection of personal data, in particular where the data subject is a child.";"{'answer': 'Processing of personal data is lawful if at least one of the following applies: (a) the data subject has given consent; (b) necessary for a contract; (c) compliance with a legal obligation; (d) necessary to protect vital interests; (e) for public interest or official authority; (f) legitimate interests pursued by the controller or a third party, except where overridden by the data subject’s rights. (Article 6, point 1)', 'full_answer': 'According to Article 6, processing is lawful only if and to the extent that at least one of the six legal bases is met. These include consent, contract performance, legal obligation, protection of vital interests, public interest/official authority, and legitimate interests. Each basis must be assessed in light of the processing purpose, context, and the rights and freedoms of the data subject. The controller must be able to demonstrate the legal ground for processing.', 'key_snippet': 'Processing shall be lawful only if and to the extent that at least one of the following applies', 'chunks': ['chapter II, article 6, point 1', 'chapter II, article 6, point 1a', 'chapter II, article 6, point 1b', 'chapter II, article 6, point 1c', 'chapter II, article 6, point 1d', 'chapter II, article 6, point 1e', 'chapter II, article 6, point 1f'], 'percentage': ['15', '12', '12', '12', '12', '12', '12']}";"0.75";"0.78";"1.00";"0.82";"0.00";"0.00";"maritaca"
"8";"grafo";"What should the request for consent be presented as, if the data subject's consent is given in the context of a written declaration which also concerns other matters?";"The request for consent shall be presented in a manner which is clearly distinguishable from the other matters, in an intelligible and easily accessible form, using clear and plain language.";"{'answer': 'The request for consent must be presented in a manner clearly distinguishable from other matters, in an intelligible and easily accessible form, using clear and plain language. This ensures the data subject can freely and specifically consent only to the processing they understand and agree with, without being misled by surrounding text.', 'full_answer': ""According to Article 7(2), when a data subject's consent is given in a written declaration that also covers other matters, the consent request must be presented separately and distinctly. It must be in an intelligible and easily accessible form, using clear and plain language. This requirement is designed to prevent ‘bundling’ of consent with unrelated terms, ensuring the data subject is fully aware of what they are consenting to. Any part of the declaration that does not comply with these requirements is not binding. This protects the principle of informed and freely given consent under data protection law."", 'key_snippet': 'clearly distinguishable from the other matters', 'chunks': ['chapter_ii_article_7'], 'percentage': ['100']}";"0.89";"0.97";"0.54";"0.83";"0.00";"0.00";"maritaca"
"9";"grafo";"Under what conditions is the processing of personal data of a child lawful in relation to the offer of information society services directly to a child according to Article 8?";"The processing of personal data of a child shall be lawful where the child is at least 16 years old. Where the child is below the age of 16 years, such processing shall be lawful only if and to the extent that consent is given or authorised by the holder of parental responsibility over the child. Member States may provide by law for a lower age for those purposes provided that such lower age is not below 13 years.";"{'answer': ""Processing of a child's personal data for information society services is lawful if the child is at least 16 years old, or if the child is younger, consent is given or authorized by the holder of parental responsibility. The controller must make reasonable efforts to verify this consent, considering available technology. Member States may set a lower age, not below 13 years."", 'full_answer': ""According to Article 8, processing of a child's personal data for the offer of information society services directly to the child is lawful only if the child is at least 16 years old. If the child is younger than 16, processing is lawful only if and to the extent that consent is given or authorized by the holder of parental responsibility over the child. The controller must make reasonable efforts to verify that such consent has been given or authorized, taking into account available technology. Additionally, Member States may provide by law for a lower age for these purposes, provided it is not below 13 years. These requirements ensure that children's data is protected when services are offered directly to them online."", 'key_snippet': 'processing of the personal data of a child shall be lawful where the child is at least 16 years old', 'chunks': ['chapter II, article 8, point 1', 'chapter II, article 8, point 2', 'chapter II, article 8, point text_2'], 'percentage': ['50', '30', '20']}";"0.67";"0.96";"0.54";"0.87";"0.00";"0.00";"maritaca"
"10";"grafo";"Under what circumstances is processing of personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, or trade union membership allowed?";"Processing of personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, or trade union membership is allowed if the data subject has given explicit consent to the processing of those personal data for one or more specified purposes, except where Union or Member State law provide that the prohibition referred to in paragraph 1 may not be lifted by the data subject; processing is necessary for the purposes of carrying out the obligations and exercising specific rights of the controller or of the data subject in the field of employment and social security and social protection law in so far as it is authorised by Union or Member State law or a collective agreement pursuant to Member State law providing for appropriate safeguards for the fundamental rights and the interests of the data subject; processing is necessary to protect the vital interests of the data subject or of another natural person where the data subject is physically or legally incapable of giving consent; processing is carried out in the course of its legitimate activities with appropriate safeguards by a foundation, association or any other not-for-profit body with a political, philosophical, religious or trade union aim and on condition that the processing relates solely to the members or to former members of the body or to persons who have regular contact with it in connection with its purposes and that the personal data are not disclosed outside that body without the consent of the data subjects; processing relates to personal data which are manifestly made public by the data subject; processing is necessary for the establishment, exercise or defence of legal claims or whenever courts are acting in their judicial capacity; processing is necessary for reasons of substantial public interest, on the basis of Union or Member State law which shall be proportionate to the aim pursued, respect the essence of the right to data protection and provide for suitable and specific measures to safeguard the fundamental rights and the interests of the data subject; processing is necessary for reasons of public interest in the area of public health, such as protecting against serious cross-border threats to health or ensuring high standards of quality and safety of health care and of medicinal products or medical devices, on the basis of Union or Member State law which provides for suitable and specific measures to safeguard the rights and freedoms of the data subject, in particular professional secrecy; processing is necessary for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes in accordance with Article 89(1) based on Union or Member State law which shall be proportionate to the aim pursued, respect the essence of the right to data protection and provide for suitable and specific measures to safeguard the fundamental rights and the interests of the data subject.";"{'answer': 'Processing of personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, or trade union membership is generally prohibited, but may be allowed under specific conditions such as explicit consent of the data subject, necessity for vital interests, or processing by not-for-profit bodies with appropriate safeguards and limited disclosure. Legal basis must be clear and proportionate, with suitable measures to protect rights and freedoms.', 'full_answer': 'According to Article 9(1), processing of special categories of personal data—including racial or ethnic origin, political opinions, religious or philosophical beliefs, or trade union membership—is prohibited. However, Article 9(2) provides exceptions: processing is allowed if the data subject gives explicit consent (a), for the protection of vital interests (c), or by foundations, associations, or not-for-profit bodies with political, philosophical, religious, or trade union aims, provided processing relates only to members or regular contacts and is not disclosed outside the body without consent (d). Additional conditions include processing under legal obligations, for public interest, or under professional secrecy, always with appropriate safeguards and proportionality.', 'key_snippet': 'processing is carried out in the course of its legitimate activities with appropriate safeguards by a foundation, association or any other not-for-profit body with a political, philosophical, religious or trade union aim', 'chunks': ['chapter II, article 9, point 1', 'chapter II, article 9, point 2d'], 'percentage': ['60', '40']}";"0.67";"0.77";"0.51";"0.78";"0.00";"0.00";"maritaca"
