"type";"question";"gold_answer";"llm_response";"complexity";"saf";"nli";"sim";"relevancy";"faithfulness";"model"
"grafo";"A empresa de ônibus pode vender dados de movimentação de passageiros?";"Dados de geolocalização são sensíveis. Anonimização pode permitir, mas se permite reidentificação cruzando com outros dados?";"{'resposta': ""A empresa de ônibus, como agente de tratamento, só pode vender ou compartilhar dados de movimentação de passageiros se houver consentimento do titular ou outra base legal prevista na LGPD. O titular tem direito à informação e à eliminação dos dados tratados em desconformidade. Trecho-chave: 'Art. 18 O titular dos dados pessoais tem direito a obter do controlador... anonimização, bloqueio ou eliminação de dados desnecessários, excessivos ou tratados em desconformidade com o disposto nesta Lei'."", 'resposta_completa': 'A venda ou compartilhamento de dados de movimentação de passageiros por empresa de ônibus está condicionada ao cumprimento das regras da Lei Geral de Proteção de Dados (LGPD). O tratamento desses dados só é permitido mediante consentimento do titular ou outra base legal expressa, como obrigação legal, execução de contrato ou legítimo interesse, desde que respeitados os direitos fundamentais do titular. O titular dos dados tem direito de acesso, correção, eliminação e informação sobre o uso compartilhado de seus dados. Caso os dados sejam tratados em desconformidade com a LGPD, o titular pode exigir a anonimização, bloqueio ou eliminação desses dados. O descumprimento dessas obrigações pode acarretar sanções administrativas à empresa, incluindo advertências, multas e até suspensão das atividades de tratamento de dados.', 'chunks': ['f9e4ad69', 'ffc54078'], 'trecho_chave': 'Art. 18 O titular dos dados pessoais tem direito a obter do controlador... anonimização, bloqueio ou eliminação de dados desnecessários, excessivos ou tratados em desconformidade com o disposto nesta Lei.', 'percentual': ['70', '30']}";"0.87";"0.86";"0.54";"0.43";"1.00";"1.00";"gpt"
"grafo";"Sou obrigado a dar minha foto para entrar em um hospital ou clínica?";"Depende da finalidade. Se for para identificação de pacientes e acesso a áreas restritas (medicamentos controlados), a base legal é a ""tutela da saúde"" (Art. 11, II, ""f""). No entanto, se houver métodos alternativos menos invasivos (como cartão hospitalar + senha), a biometria pode ser questionável. A ambiguidade está em: o hospital pode recusar atendimento se você negar? Legalmente não, mas pode criar obstáculos operacionais.";"{'resposta': 'A coleta de fotografia para acesso a hospital ou clínica só pode ocorrer se houver finalidade legítima, necessidade e transparência, conforme art. 6º da LGPD. O titular deve ser informado sobre o tratamento, podendo negar consentimento e conhecer as consequências.', 'resposta_completa': 'A exigência de fotografia para identificação na entrada de hospitais ou clínicas deve observar os princípios da LGPD, especialmente finalidade, necessidade e transparência (art. 6º). O tratamento só é permitido se for indispensável para segurança, proteção da vida ou incolumidade física, ou tutela da saúde, e o titular deve ser informado de forma clara sobre a finalidade, duração e uso dos dados (art. 9º). O consentimento do titular é necessário, salvo exceções legais, e o titular tem direito de acesso, correção e eliminação dos dados. Caso a recusa do fornecimento da foto impeça o acesso ao serviço essencial de saúde, pode haver violação de direitos fundamentais, devendo o hospital justificar a real necessidade da coleta.', 'chunks': ['9c7da499', 'ffc54078'], 'trecho_chave': 'Art. 6º As atividades de tratamento de dados pessoais deverão observar a boa-fé e os seguintes princípios: I - finalidade: realização do tratamento para propósitos legítimos, específicos, explícitos e informados ao titular [...] III - necessidade: limitação do tratamento ao mínimo necessário para a realização de suas finalidades [...] Art. 9º O titular tem direito ao acesso facilitado às informações sobre o tratamento de seus dados, que deverão ser disponibilizadas de forma clara, adequada e ostensiva [...]', 'percentual': ['60', '40']}";"0.77";"0.95";"0.54";"0.53";"1.00";"1.00";"gpt"
"grafo";"A empresa de telefonia pode vender a minha foto de cadastro?";"Não, a venda é proibida. Mas a ambiguidade está na ""anonymização"" - a empresa pode argumentar que vende ""dados estatísticos agregados"" que incluem imagens processadas por IA para análise de perfil demográfico. O Art. 7, § 4º permite tratamento para fins legítimos desde que não houver identificação do titular, mas a linha entre ""dados anonimizados"" e ""pseudonimizados"" é tênue.";"{'resposta': 'A empresa de telefonia, como agente de tratamento, não pode vender ou compartilhar sua foto de cadastro para fins comerciais sem seu consentimento específico. O tratamento de dados pessoais deve observar os princípios de finalidade, necessidade e transparência, conforme a LGPD.', 'resposta_completa': 'A venda ou compartilhamento da foto de cadastro por uma empresa de telefonia, sem o consentimento do titular, viola os princípios da Lei Geral de Proteção de Dados (LGPD). O art. 6º da LGPD exige que o tratamento de dados pessoais seja realizado para propósitos legítimos, específicos e informados ao titular, sendo vedado o tratamento posterior de forma incompatível com essas finalidades. Além disso, a regra exige limitação ao mínimo necessário para a realização das finalidades, bem como transparência e segurança. Portanto, a empresa de telefonia só pode vender ou compartilhar sua foto de cadastro se houver consentimento específico e destacado do titular para essa finalidade, ou se houver outra base legal expressa, o que não se aplica a fins comerciais. O descumprimento pode gerar responsabilização e obrigação de reparação de danos.', 'chunks': ['9c7da499', 'a57ec09b'], 'trecho_chave': 'Art. 6º As atividades de tratamento de dados pessoais deverão observar a boa-fé e os seguintes princípios: I - finalidade: realização do tratamento para propósitos legítimos, específicos, explícitos e informados ao titular, sem possibilidade de tratamento posterior de forma incompatível com essas finalidades;'}";"0.81";"0.81";"0.54";"0.55";"1.00";"1.00";"gpt"
"grafo";"Fui demitido. A empresa tem que apagar minha foto e digital do relógio de ponto e da catraca?";"A LGPD não é clara sobre prazos. O Art. 46 permite retenção para ""cumprimento de obrigação legal ou regulatória"" - o MTE exige arquivos de empregados por 5 anos após a rescisão. Mas e a digital biométrica? A empresa pode argumentar que precisa mantê-la por esse período ""para fins de auditoria"", mas a ANPD recomenda anonimização após o término da relação jurídica. A ambiguidade: por quanto tempo exatamente?";"{'resposta': 'Após o desligamento, a empresa deve eliminar dados biométricos e fotográficos do ex-funcionário, como foto e digital do relógio de ponto e catraca, salvo obrigação legal de retenção. O titular pode requisitar a exclusão, conforme art. 18 da LGPD. Trecho-chave: ""eliminação dos dados pessoais tratados com o consentimento do titular, exceto nas hipóteses previstas no art. 16 desta Lei"".', 'resposta_completa': 'A Lei Geral de Proteção de Dados (LGPD) determina que, ao término da relação entre funcionário e empresa, os dados pessoais, incluindo biometria e foto utilizados em sistemas de controle de ponto e acesso, devem ser eliminados, salvo se houver obrigação legal para sua manutenção. O titular dos dados pode solicitar a exclusão desses registros, e a empresa, como controladora, deve atender ao pedido, exceto se houver justificativa legal para a retenção. O art. 18 da LGPD garante ao titular o direito de eliminação dos dados pessoais tratados com consentimento, e o art. 5º define dados biométricos e fotográficos como dados pessoais sensíveis. Portanto, a empresa é responsável por excluir os registros individuais do ex-funcionário, a menos que haja previsão legal para mantê-los.', 'chunks': ['f9e4ad69', 'e9106279'], 'trecho_chave': 'eliminação dos dados pessoais tratados com o consentimento do titular, exceto nas hipóteses previstas no art. 16 desta Lei'}";"0.91";"0.79";"0.58";"0.68";"1.00";"1.00";"gpt"
"grafo";"Posso recusar o reconhecimento facial no condomínio onde moro?";"É ambíguo. Se o sistema foi aprovado em assembleia, o condomínio pode argumentar ""legítimo interesse coletivo de segurança"". Porém, como biometria é dado sensível, o Art. 11 exige consentimento ou outra base legal específica. O condomínio deve oferecer alternativa (cartão, senha), mas pode cobrar taxa extra por ""sistema alternativo de acesso""? A lei não proíbe explicitamente.";"{'resposta': 'O titular dos dados pode recusar o reconhecimento facial no condomínio, pois dados biométricos são sensíveis e exigem consentimento livre, informado e inequívoco. O controlador deve informar sobre a possibilidade de não fornecer consentimento e as consequências da negativa, conforme art. 18 da LGPD.', 'resposta_completa': 'A Lei Geral de Proteção de Dados (LGPD) classifica dados biométricos como dados pessoais sensíveis, exigindo consentimento explícito para seu tratamento. O titular tem direito de recusar o fornecimento desses dados, devendo ser informado sobre as consequências dessa recusa. O art. 18 da LGPD garante ao titular o direito de ser informado sobre a possibilidade de não fornecer consentimento e as consequências da negativa, além de permitir a revogação do consentimento a qualquer momento. Portanto, o condomínio não pode obrigar o morador a aderir ao sistema de reconhecimento facial sem seu consentimento livre, informado e inequívoco.', 'chunks': ['f9e4ad69', 'e9106279'], 'trecho_chave': 'VIII - informação sobre a possibilidade de não fornecer consentimento e sobre as consequências da negativa', 'percentual': ['70', '30']}";"0.93";"0.83";"0.51";"0.55";"1.00";"1.00";"gpt"
"grafo";"Minha escola pode exigir biometria dos meus filhos para entra na escola?";"Para menores, é necessário consentimento específico de um dos pais (Art. 14). Mas há uma brecha: se a escola argumentar ""interesse vital da criança"" (controle de alergias alimentares), pode se enquadrar no Art. 11, II ""f"". A ambiguidade: até que ponto a conveniência operacional da escola sobrepõe-se à privacidade do menor?";"{'resposta': 'A escola pode exigir biometria dos alunos para controle de acesso, desde que respeite os princípios da LGPD, como finalidade, necessidade e transparência. O tratamento de dados biométricos exige consentimento específico e destacado dos responsáveis legais dos alunos.', 'resposta_completa': 'A exigência de biometria para entrada de alunos na escola é possível, pois o dado biométrico é considerado dado pessoal sensível pela LGPD. O tratamento desses dados deve observar os princípios do art. 6º, como finalidade legítima, necessidade e transparência. Além disso, conforme art. 5º, o consentimento dos responsáveis legais é obrigatório, devendo ser específico e destacado para essa finalidade. A escola, como agente de tratamento, deve garantir a segurança dos dados e informar claramente sobre o uso, acesso e eventual compartilhamento dessas informações. O não cumprimento pode acarretar sanções administrativas.', 'chunks': ['9c7da499', 'e9106279'], 'trecho_chave': 'II - dado pessoal sensível: dado pessoal sobre [...] dado genético ou biométrico, quando vinculado a uma pessoa natural; [...] I - finalidade: realização do tratamento para propósitos legítimos, específicos, explícitos e informados ao titular'}";"0.74";"0.78";"0.56";"0.57";"1.00";"1.00";"gpt"
"grafo";"Posso exigir que uma empresa apague minha biometria coletada antes da LGPD entrar em vigor?";"A LGPD não tem efeito retroativo (Art. 58), mas dados coletados antes de agosto/2020 ainda estão sendo tratados. A ambiguidade: a empresa precisa obter novo consentimento para continuar tratando dados antigos? A ANPD sugere ""adequação retroativa"", mas não há obrigatoriedade clara de reconsentimento.";"{'resposta': 'A LGPD garante ao titular o direito de solicitar a eliminação de dados pessoais, inclusive biométricos, tratados com consentimento, mesmo que coletados antes da vigência da lei. O controlador deve atender ao pedido, salvo obrigação legal de retenção. Trecho-chave: ""VI - eliminação dos dados pessoais tratados com o consentimento do titular, exceto nas hipóteses previstas no art. 16 desta Lei"".', 'resposta_completa': 'A Lei Geral de Proteção de Dados (LGPD) assegura ao titular dos dados pessoais, inclusive biométricos, o direito de solicitar a eliminação desses dados, mesmo que tenham sido coletados antes da entrada em vigor da lei. O artigo 18, inciso VI, da LGPD, determina que o titular pode requerer a eliminação dos dados pessoais tratados com seu consentimento, salvo nas hipóteses em que a lei autoriza a conservação, como para cumprimento de obrigação legal ou regulatória. Portanto, ao formalizar a solicitação à empresa, esta deverá eliminar os dados biométricos do banco de dados, exceto se houver justificativa legal para mantê-los. O direito do titular é garantido independentemente da data da coleta, desde que não haja exceção legal expressa.', 'chunks': ['f9e4ad69'], 'trecho_chave': 'VI - eliminação dos dados pessoais tratados com o consentimento do titular, exceto nas hipóteses previstas no art. 16 desta Lei', 'percentual': ['100']}";"0.55";"0.84";"0.55";"0.45";"1.00";"1.00";"gpt"
"grafo";"Minha empresa usa biometria para controle de ponto. Posso exigir método alternativo por questões religiosas?";"O Art. 11 permite tratamento de dados sensíveis para ""prevenção à fraude"", mas a Constituição protege a liberdade religiosa (Art. 5º, VI). Se a biometria (impressão digital) é considerada ""marca do anticristo"" por algumas religiões, qual prevalece? A jurisprudência ainda é incipiente no Brasil.";"{'resposta': 'A legislação de proteção de dados assegura ao titular direitos fundamentais de liberdade, intimidade e privacidade, o que pode fundamentar a solicitação de método alternativo ao uso de biometria por motivo religioso. O controlador deve garantir tais direitos ao titular.', 'resposta_completa': 'A Lei Geral de Proteção de Dados (LGPD) garante ao titular dos dados pessoais direitos fundamentais de liberdade, intimidade e privacidade (regra 4d9abb51). O uso de biometria para controle de ponto envolve tratamento de dados sensíveis, e a recusa por motivo religioso pode ser considerada legítima. Assim, a empresa deve analisar a solicitação formal do trabalhador e, com base na legislação, buscar alternativas que respeitem a convicção religiosa, sem prejuízo ao controle de frequência. O direito do titular de dados deve ser garantido, conforme previsto na legislação, e a empresa deve adotar medidas para assegurar o respeito à liberdade religiosa e à proteção de dados pessoais.', 'chunks': ['4d9abb51'], 'trecho_chave': 'Garantir ao titular os direitos fundamentais de liberdade, intimidade e privacidade.', 'percentual': ['100']}";"0.83";"0.54";"0.54";"0.59";"1.00";"1.00";"gpt"
"grafo";"O salão de beleza pode exigir minha foto antes e depois do procedimento estético?";"A empresa pode argumentar ""legítimo interesse"" para documentação médica/prova de resultado. Mas a ambiguidade: a foto pode ser usada em redes sociais do salão sem consentimento específico? O Art. 7º, IV permite tratamento para exercício de direitos, mas o Art. 5º, II inclui ""imagem"" como dado sensível quando vinculada a dados pessoais.";"{'resposta': 'A exigência de fotografia antes e depois do procedimento estético pelo salão de beleza só pode ocorrer mediante consentimento livre, informado e inequívoco do titular, conforme art. 5º e art. 7º da LGPD. O tratamento desses dados deve respeitar direitos de liberdade, intimidade e privacidade.', 'resposta_completa': 'A coleta de fotografias antes e depois de procedimentos estéticos configura tratamento de dados pessoais, conforme art. 5º da LGPD. Tal exigência só é permitida se houver consentimento livre, informado e inequívoco do titular, conforme art. 7º, I. O salão de beleza, como controlador, deve informar claramente a finalidade da coleta, garantir a segurança dos dados e possibilitar ao titular o acesso, correção ou eliminação dessas imagens. O tratamento deve respeitar os direitos fundamentais de liberdade, intimidade e privacidade do titular, sendo vedado o uso dos dados em prejuízo do titular. Caso o consentimento não seja fornecido, o salão deve informar as consequências da negativa, sem impor restrições abusivas ao serviço.', 'chunks': ['e9106279', 'a57ec09b'], 'trecho_chave': 'consentimento: manifestação livre, informada e inequívoca pela qual o titular concorda com tratamento de seus dados pessoais para uma finalidade determinada'}";"0.77";"0.83";"0.54";"0.71";"1.00";"1.00";"gpt"
"grafo";"Posso me recusar a fornecer biometria em um concurso público?";"O Art. 7º, II permite tratamento para ""execução de políticas públicas"", mas a biometria é dado sensível. Se o concurso é para cargo comum (não envolvendo segurança nacional), é proporcional? A administração pública pode argumentar ""prevenção à fraude"", mas o candidato pode alegar excesso.";"{'resposta': 'A exigência de biometria em concurso público envolve tratamento de dado pessoal sensível, que depende de consentimento específico do titular, salvo se houver obrigação legal, regulatória ou necessidade para prevenção à fraude, conforme art. 11 da LGPD.', 'resposta_completa': 'O fornecimento de biometria em concurso público caracteriza tratamento de dado pessoal sensível, conforme art. 5º, II, da LGPD. O art. 11 da LGPD determina que tal tratamento só pode ocorrer mediante consentimento específico do titular, salvo hipóteses legais como obrigação regulatória, execução de políticas públicas ou prevenção à fraude e segurança do titular em processos de identificação e autenticação. O candidato pode recusar o fornecimento, mas deve ser informado sobre as consequências dessa recusa, como eventual impossibilidade de participação, caso a coleta seja indispensável para garantir a segurança do certame. O controlador deve informar claramente a finalidade e as consequências da negativa, conforme art. 18, VIII, da LGPD.', 'chunks': ['b47f4387', 'e9106279'], 'trecho_chave': 'Art. 11 O tratamento de dados pessoais sensíveis somente poderá ocorrer nas seguintes hipóteses: I - quando o titular ou seu responsável legal consentir, de forma específica e destacada, para finalidades específicas;', 'percentual': ['80', '20']}";"0.69";"0.85";"0.32";"0.56";"1.00";"1.00";"gpt"
"grafo";"A academia pode exigir biometria para liberação de catraca?";"O contrato de adesão pode incluir essa cláusula, mas a LGPD prevalece sobre contratos (Art. 7º, § 3º). A academia precisa demonstrar ""necessidade"" - existe alternativa menos invasiva? Se sim, a exigência pode ser considerada abusiva.";"{'resposta': 'A exigência de biometria para acesso à academia do condomínio é possível, desde que respeitados os princípios da LGPD, como finalidade, necessidade, transparência e segurança. O tratamento de dados biométricos exige consentimento e informações claras ao titular.', 'resposta_completa': 'A coleta e validação de biometria para liberação de catraca na academia do condomínio caracteriza tratamento de dados pessoais sensíveis, conforme art. 5º, II, da LGPD. Tal prática é permitida desde que observados os princípios do art. 6º, como finalidade legítima, necessidade (limitação ao mínimo necessário), transparência (informações claras ao titular) e segurança (medidas técnicas e administrativas para proteção dos dados). O consentimento do titular é obrigatório para dados biométricos, devendo ser específico e destacado. O condomínio deve informar a finalidade, procedimentos e práticas adotadas, além de garantir o direito de acesso, correção e eliminação dos dados pelo titular. O uso da biometria deve ser proporcional ao objetivo de controle de acesso seguro, não podendo ser excessivo ou discriminatório.', 'chunks': ['e9106279', '9c7da499'], 'trecho_chave': 'dado pessoal sensível: dado pessoal sobre [...] dado genético ou biométrico, quando vinculado a uma pessoa natural; [...] As atividades de tratamento de dados pessoais deverão observar a boa-fé e os seguintes princípios: I - finalidade [...] III - necessidade [...] VI - transparência [...] VII - segurança'}";"0.85";"0.74";"0.54";"0.44";"1.00";"1.00";"gpt"
"grafo";"Meu chefe pode exigir minha digital para acessar o computador da empresa?";"Se é equipamento da empresa, o empregador pode argumentar ""legítimo interesse"" na segurança patrimonial. Mas a biometria é dado sensível do empregado. A ANPD recomenda que o empregador ofereça alternativa (senha forte + token), mas não é obrigatório.";"{'resposta': 'A exigência de biometria, como a digital, para acesso ao computador da empresa envolve tratamento de dado pessoal sensível, conforme a LGPD. Tal prática só é permitida se respeitar os princípios de finalidade, necessidade e transparência, além de garantir segurança e consentimento informado ao titular. O trecho-chave é: ""dado pessoal sensível: dado pessoal sobre [...] dado genético ou biométrico, quando vinculado a uma pessoa natural"".', 'resposta_completa': 'No ambiente empresarial, a coleta de biometria (impressão digital) para acesso a computadores configura tratamento de dado pessoal sensível, conforme o art. 5º, II, da LGPD. A empresa pode adotar tal medida para garantir segurança da informação e controle de acesso, desde que respeite os princípios da LGPD, especialmente os de finalidade (uso para propósito legítimo e específico), necessidade (limitação ao mínimo necessário), transparência (informação clara ao titular) e segurança (proteção contra acessos não autorizados). O consentimento do titular é fundamental, salvo se houver outra base legal aplicável. O controlador deve ainda garantir ao titular direitos como acesso, correção e eliminação dos dados, conforme previsto na legislação.', 'chunks': ['e9106279', '9c7da499'], 'trecho_chave': 'dado pessoal sensível: dado pessoal sobre [...] dado genético ou biométrico, quando vinculado a uma pessoa natural', 'percentual': ['60', '40']}";"0.85";"0.97";"0.54";"0.59";"1.00";"1.00";"gpt"
"grafo";"O banco pode exigir biometria facial para transações pelo aplicativo?";"A resolução CMN 4.893/2021 permite, mas exige consentimento. A ambiguidade: se o cliente recusa, o banco pode limitar funcionalidades ou encerrar a conta? O Art. 9º do CDC proíbe prática discriminatória, mas a segurança é argumento válido.";"{'resposta': 'A exigência de biometria facial por bancos para autenticação em transações digitais é permitida, pois o dado biométrico é considerado sensível e pode ser tratado para garantir prevenção à fraude e segurança do titular, conforme art. 11, I e g da LGPD.', 'resposta_completa': 'A Lei Geral de Proteção de Dados (LGPD) classifica dados biométricos como dados pessoais sensíveis (art. 5º, II). O tratamento desses dados por bancos é permitido, desde que haja consentimento específico do titular ou quando indispensável para garantir a prevenção à fraude e a segurança do titular em processos de identificação e autenticação em sistemas eletrônicos (art. 11, I e g). Assim, a exigência de biometria facial para autenticação em aplicativos bancários é juridicamente fundamentada, desde que respeitados os direitos do titular, como transparência, finalidade e segurança. O banco deve informar claramente a finalidade do uso da biometria e adotar medidas de proteção adequadas.', 'chunks': ['e9106279', 'b47f4387'], 'trecho_chave': 'Art. 11 O tratamento de dados pessoais sensíveis somente poderá ocorrer [...] para garantia da prevenção à fraude e à segurança do titular, nos processos de identificação e autenticação de cadastro em sistemas eletrônicos'}";"0.78";"0.85";"0.54";"0.51";"1.00";"1.00";"gpt"
"grafo";"Posso exigir que meus dados biométricos sejam processados ""on-device"" e não na nuvem?";"A LGPD não especifica o local de processamento, apenas exige ""segurança"". O titular pode argumentar ""minimização de risco"", mas a escolha da arquitetura é do controlador, desde que haja criptografia adequada.";"{'resposta': ""A legislação assegura ao titular dos dados pessoais, inclusive biométricos, direitos fundamentais de liberdade, intimidade e privacidade. Contudo, não há previsão expressa que obrigue o controlador a processar dados biométricos exclusivamente no dispositivo ('on-device')."", 'resposta_completa': ""A Lei Geral de Proteção de Dados (LGPD) garante ao titular a titularidade de seus dados pessoais e direitos fundamentais de liberdade, intimidade e privacidade (art. 17). Dados biométricos são considerados dados pessoais sensíveis (art. 5º, II). Embora a LGPD estimule padrões técnicos que facilitem o controle pelo titular (art. 51), não há regra expressa que obrigue o processamento local ('on-device') dos dados biométricos, nem que impeça o uso de nuvem, desde que respeitados os princípios da lei, como segurança, transparência e consentimento. O titular pode solicitar informações sobre o tratamento e exercer seus direitos, mas a exigência de processamento exclusivamente local não está prevista de forma obrigatória."", 'chunks': ['4d9abb51', 'e9106279', '14a3590a'], 'trecho_chave': 'Art. 17 Toda pessoa natural tem assegurada a titularidade de seus dados pessoais e garantidos os direitos fundamentais de liberdade, de intimidade e de privacidade, nos termos desta Lei.'}";"0.77";"0.96";"0.98";"0.51";"1.00";"1.00";"gpt"
