;;GRAFO;11;VETOR;6;;;
;;FP/FN GF;2;FP/FN VT;6;;;
;;;;;;;;
score;FP/FN;tipo;chave;saf_score;nli_score;sim_score;V/F;resposta_llm
1;;vetor;pergunta1;0.78;1.00;0.82;V;"Não é permitido estacionar duas motos na mesma vaga, pois a regra estabelece que cada vaga é destinada a um veículo. Trecho-chave: ""os CONDÔMINOS poderão fazer uso da vaga... mantendo a regra de um veículo por vaga."""
1;;grafo;pergunta1;0.95;1.00;0.91;V;"Não é permitido estacionar duas motos na mesma vaga, pois a regra estabelece que ""somente será permitido o estacionamento de um veículo automotor por vaga"". Portanto, apenas uma moto por vaga é permitida."
;1;vetor;pergunta10;0.78;0.00;0.00;;A permissão para usar churrasqueira portátil não está explicitamente abordada no regulamento. Assim, é prudente consultar a administração do condomínio antes de proceder com o churrasco no jardim.
;;grafo;pergunta10;0.54;0.00;0.00;;"O regulamento não proíbe o uso de churrasqueira portátil em áreas comuns. Contudo, é importante verificar se há restrições quanto ao local escolhido. Trecho-chave: ""não proíbe uso de portátil""."
;1;vetor;pergunta11;0.84;0.00;0.00;;"A locação temporária via AirBnB não é mencionada nas regras do condomínio, portanto, não há proibição explícita. Contudo, é prudente consultar a administração. Trecho-chave: ""Regulamento é obrigatório para proprietários""."
;;grafo;pergunta11;0.56;0.00;0.00;;"A convenção não menciona restrições ao aluguel temporário. Contudo, é prudente consultar o síndico para evitar problemas. Trecho-chave: ""Artigo 158º - O CONDÔMINO que não cumpre reiteradamente..."""
1;;vetor;pergunta12;0.54;0.77;0.82;V;"O condomínio não é responsável por reembolsar a bicicleta roubada, pois não há regra que garanta essa indenização. O furto é uma ação criminosa e não uma falha do condomínio. Trecho-chave: ""Ação criminosa""."
1;;grafo;pergunta12;0.85;0.99;0.87;V;"O condomínio não é responsável pelo furto da sua bicicleta, pois a regra afirma que o CONDOMÍNIO não será responsabilizado por danos ou furto das bicicletas. Trecho-chave: ""O CONDOMÍNIO não será responsabilizado por eventuais danos ou furto das bicicletas ou partes."""
;;vetor;pergunta13;0.42;0.00;0.00;;"O síndico pode recusar a entrega das imagens, mas a negativa deve ser justificada. Se não houver justificativa, você pode exigir o acesso. Trecho-chave: ""Motivo não informado""."
1;;grafo;pergunta13;0.59;0.83;0.80;;A recusa do síndico em fornecer as imagens pode ser contestada, pois o condômino deve comunicar o furto à administração. O acesso às imagens é essencial para investigar o ocorrido.
;1;vetor;pergunta14;0.86;0.00;0.00;;"Sim, você pode alugar o salão de festas para a demonstração de produtos, respeitando a regra de reserva com antecedência de uma semana e a capacidade máxima de 40 pessoas. Trecho-chave: ""A utilização dos salões de festas... é permitida para eventos de caráter privado... com capacidade de 40 pessoas""."
1;;grafo;pergunta14;0.46;1.00;0.95;V;"A utilização do salão de festas para demonstração de produtos é proibida, pois não é permitido eventos comerciais. Trecho-chave: ""É proibida a utilização de qualquer espaço das áreas comuns do condomínio para eventos..."""
;;vetor;pergunta15;0.73;0.00;0.00;;"Sim, você pode alugar o salão para o culto no dia 10. É necessário reservar com antecedência de pelo menos uma semana e informar a quantidade de convidados. Trecho-chave: ""Os interessados poderão efetuar a reserva com antecedência de pelo menos 1 (uma) semana antes da data da reunião."""
1;;grafo;pergunta15;0.97;1.00;0.90;V;"A reserva para eventos religiosos é proibida, conforme a regra: ""É proibida a utilização de qualquer espaço das áreas comuns do condomínio para eventos ou entrevistas comerciais, religiosos..."""
1;;vetor;pergunta16;0.59;0.98;0.88;V;É proibido fumar dentro do condomínio. Fumar deve ser feito apenas fora do condomínio, o que inclui a área externa próxima à churrasqueira. Portanto, não é permitido fumar durante seu aniversário.
;;grafo;pergunta16;0.66;0.00;0.00;;A proibição de fumar se aplica a todas as áreas comuns do condomínio, incluindo a área externa perto da churrasqueira, conforme as regras internas. Isso visa garantir a saúde e segurança de todos.
