"id";"type";"question";"gold_answer";"llm_response";"complexity";"saf";"nli";"sim";"relevancy";"faithfulness";"model"
"1";"grafo3";"I was fired. Does the company have to delete my photo and fingerprint from the time clock and turnstile?";"Not automatically. Under Article 17 GDPR, personal data must be erased when no longer necessary, but employers may retain certain data to comply with legal obligations or defend against legal claims. Biometric data should be minimized and retention must be justified and proportionate.";"{'answer': 'The company, as controller, shall erase your photo and fingerprint from the time clock and turnstile systems without undue delay after your employment ends, if these data are no longer necessary for the original purpose. This right to erasure applies unless retention is required by Union or Member State law or for the establishment, exercise, or defence of legal claims. The controller must also notify recipients of the erasure unless impossible or disproportionate. See Article 17(1) and Article 19.', 'full_answer': ""Under Article 17(1), you have the right to obtain erasure of your personal data, such as photo and fingerprint, from the company's systems without undue delay when the data are no longer necessary for the purposes for which they were collected (e.g., after termination of employment). The company, as controller, is obligated to erase these data unless there is a legal obligation to retain them or they are needed for legal claims. Article 19 further requires the controller to communicate the erasure to any recipients of the data, unless this is impossible or involves disproportionate effort. There is no direct cost to you for exercising this right. However, Member State law or collective agreements may provide for specific retention periods or exceptions, especially in the employment context (Article 88)."", 'key_snippet': 'The data subject shall have the right to obtain from the controller the erasure of personal data concerning him or her without undue delay ... where ... the personal data are no longer necessary in relation to the purposes for which they were collected or otherwise processed;', 'chunks': ['chapter_iii_article_17', 'chapter_iii_article_19'], 'percentage': ['80', '20']}";"0.76";"0.88";"0.54";"0.66";"1.00";"1.00";"gpt4.1"
"2";"grafo3";"Can I refuse to give my fingerprint to the company's time clock?";"Yes, in many cases. Biometric data is a special category under Article 9 GDPR and requires necessity and proportionality. If alternatives exist, you may object, especially given the imbalance in employment relationships.";"{'answer': 'Processing of biometric data for uniquely identifying a person, such as fingerprints, is prohibited unless an exception applies. Explicit consent from the data subject is one such exception, and the data subject has the right to withdraw consent at any time. Additionally, the data subject has the right to object to processing unless the controller demonstrates compelling legitimate grounds. Therefore, you may refuse to provide your fingerprint unless the company can demonstrate a legal basis overriding your objection or consent withdrawal. See Article 9(1)-(2), Article 7(3), and Article 21(1).', 'full_answer': ""The processing of biometric data, including fingerprints, for uniquely identifying a person is generally prohibited under Article 9(1), unless an exception in Article 9(2) applies. One such exception is explicit consent by the data subject (Article 9(2)(a)), which can be withdrawn at any time (Article 7(3)). Furthermore, Article 21(1) grants the data subject the right to object to processing based on certain grounds, and the controller must demonstrate compelling legitimate grounds to override this objection. In the employment context, Article 88 allows Member States to set specific rules, but these must include safeguards for the employee's rights. Unless the company can demonstrate that processing your fingerprint is necessary under a specific legal basis that overrides your objection or withdrawal of consent, you may refuse to provide your fingerprint for the time clock."", 'key_snippet': 'Processing of biometric data for the purpose of uniquely identifying a natural person shall be prohibited.', 'chunks': ['chapter_ii_article_9', 'chapter_ii_article_7', 'chapter_iii_article_21'], 'percentage': ['60', '20', '20']}";"0.68";"0.84";"0.54";"0.44";"1.00";"1.00";"gpt4.1"
"3";"grafo3";"Can the company use my badge photo in advertising campaigns without my permission?";"No. Using employee images for advertising requires explicit consent under Articles 6 and 7 GDPR. Legitimate interest is not sufficient for this purpose.";"{'answer': 'The company must not use your badge photo in advertising campaigns without your consent. If your personal data are processed for direct marketing purposes, you have the right to object at any time, and upon objection, your data shall no longer be processed for such purposes. Consent must be clearly distinguishable and presented in an intelligible and easily accessible form, using clear and plain language. Any part of a declaration that infringes these requirements is not binding. See Article 21(2)-(3) and Article 7(2).', 'full_answer': 'The use of your badge photo by the company for advertising or marketing purposes constitutes processing of personal data for direct marketing. According to Article 21(2), you have the right to object at any time to such processing. If you object, Article 21(3) requires that your personal data shall no longer be processed for these purposes. Furthermore, Article 7(2) mandates that consent for such use must be clearly distinguishable, intelligible, and in plain language. If consent is not properly obtained or is bundled with other matters in a non-distinct way, it is not binding. Therefore, the company cannot lawfully use your badge photo in advertising campaigns without your explicit, properly obtained consent, and you retain the right to object at any time, requiring the company to cease such use.', 'key_snippet': 'Where personal data are processed for direct marketing purposes, the data subject shall have the right to object at any time... Where the data subject objects to processing for direct marketing purposes, the personal data shall no longer be processed for such purposes.', 'chunks': ['chapter_iii_article_21', 'chapter_ii_article_7'], 'percentage': ['80', '20']}";"0.94";"0.82";"0.54";"0.53";"1.00";"1.00";"gpt4.1"
"4";"grafo3";"My employer installed a camera pointed directly at my desk. Is this allowed?";"Likely not. Monitoring must be necessary and proportionate under Article 5 GDPR. Continuous surveillance of an individual employee is typically excessive and intrusive.";"{'answer': ""The installation of a camera pointed directly at your desk for monitoring involves processing of employees' personal data in the employment context. Member States may provide specific rules by law or collective agreements to ensure protection of employees' rights, including regarding monitoring systems at the workplace. Such rules must include suitable and specific measures to safeguard human dignity, legitimate interests, and fundamental rights, especially regarding transparency. The legality depends on compliance with these national rules and safeguards. See Article 88."", 'full_answer': ""The installation of a camera directed at an employee's desk constitutes processing of personal data in the employment context. According to Article 88, Member States may, by law or collective agreements, establish more specific rules to protect employees' rights and freedoms regarding such processing, particularly for workplace monitoring systems. These rules must include suitable and specific measures to safeguard human dignity, legitimate interests, and fundamental rights, with particular regard to transparency. Therefore, whether this surveillance is allowed depends on the existence and content of such national rules or collective agreements, and whether the employer has implemented the required safeguards. The regulation does not provide an absolute prohibition or permission but delegates the specifics to Member State law or collective agreements. If you believe your rights are infringed, you may have the right to object or lodge a complaint with a supervisory authority."", 'key_snippet': ""Those rules shall include suitable and specific measures to safeguard the data subject's human dignity, legitimate interests and fundamental rights, with particular regard to the transparency of processing ... and monitoring systems at the work place."", 'chunks': ['chapter_ix_article_88'], 'percentage': ['100']}";"0.85";"0.87";"0.55";"0.54";"1.00";"1.00";"gpt4.1"
"5";"grafo3";"Can the company install a camera in the bathroom or locker room claiming security?";"No. This would violate fundamental privacy rights and fail GDPR proportionality and necessity requirements.";"{'answer': ""The legality of installing cameras in bathrooms or locker rooms for security is not explicitly addressed in the provided rules. However, Article 9 prohibits processing of special categories of personal data, including data concerning a natural person's sex life or sexual orientation, unless specific exceptions apply. Article 88 requires suitable and specific measures to safeguard human dignity and fundamental rights, especially regarding monitoring systems at the workplace. No explicit exception or justification for surveillance in such private areas is provided."", 'full_answer': 'The provided legal framework does not explicitly authorize or prohibit the installation of cameras in bathrooms or locker rooms for security purposes. Article 9 prohibits processing of special categories of personal data, which could include images from private areas, unless exceptions such as explicit consent or substantial public interest apply. Article 88 emphasizes the need for specific safeguards to protect human dignity and fundamental rights, particularly in the context of monitoring systems at the workplace. Bathrooms and locker rooms are highly private spaces, and monitoring them would likely infringe on human dignity and privacy. Without a clear legal basis or explicit exception, such surveillance would not meet the requirements for safeguarding rights and freedoms. Therefore, based on the provided evidence, installing cameras in these areas for security is not supported.', 'key_snippet': '""Those rules shall include suitable and specific measures to safeguard the data subject\'s human dignity, legitimate interests and fundamental rights, with particular regard to the transparency of processing... and monitoring systems at the work place.""', 'chunks': ['chapter_ix_article_88', 'chapter_ii_article_9'], 'percentage': ['80', '20']}";"0.74";"0.90";"0.05";"0.36";"1.00";"1.00";"gpt4.1"
"6";"grafo3";"Can I demand that the gym delete my fingerprint after I cancel my membership?";"Yes. Under Article 17 GDPR, you have the right to erasure when data is no longer necessary. Biometric data must be handled with strict limitations.";"{'answer': 'You may request the gym to delete your fingerprint data after cancelling your membership if the data are no longer necessary for the purposes for which they were collected. The controller (gym) shall erase personal data without undue delay where the data are no longer necessary. However, exceptions may apply if retention is required by law or for legal claims. If the gym fails to comply, you have the right to lodge a complaint with a supervisory authority. This is based on Article 17: Right to erasure.', 'full_answer': 'The right to erasure (Article 17) states that the data subject shall have the right to obtain from the controller the erasure of personal data without undue delay where the data are no longer necessary in relation to the purposes for which they were collected. After cancelling your gym membership, if your fingerprint data are no longer needed for access or other purposes, you may demand their deletion. The controller must comply unless an exception applies, such as a legal obligation to retain the data or for the establishment, exercise, or defence of legal claims. If the gym refuses without a valid legal basis, you may lodge a complaint with a supervisory authority (Article 77). The gym must also notify any recipients of the erasure (Article 19).', 'key_snippet': 'the controller shall have the obligation to erase personal data without undue delay where one of the following grounds applies: (a) the personal data are no longer necessary in relation to the purposes for which they were collected', 'chunks': ['chapter_iii_article_17', 'chapter_viii_article_77'], 'percentage': ['80', '20']}";"0.58";"0.92";"0.54";"0.59";"1.00";"1.00";"gpt4.1"
"7";"grafo3";"Can the condominium require residents to register their face to enter?";"Facial recognition is biometric data under Article 9 GDPR and requires strong justification or explicit consent. Alternatives should be considered.";"{'answer': 'Processing of biometric data, such as facial recognition for resident entry, is generally prohibited unless an exception applies. Explicit consent of the data subject is required, unless Union or Member State law provides otherwise. Consent must be freely given, specific, informed, and withdrawable at any time. The controller must ensure only necessary data is processed and must implement safeguards. Residents have the right to object and request erasure. Without explicit consent or a legal basis, mandatory registration is not permitted.', 'full_answer': 'The processing of biometric data (including facial recognition) for uniquely identifying residents is prohibited unless an exception under Article 9(2) applies. The most relevant exception is explicit consent from the data subject. Consent must be freely given, specific, informed, and as easy to withdraw as to give (Article 7). If consent is not freely given (e.g., if access to the condominium is conditional on providing biometric data without an alternative), it may not be valid. The controller must also ensure that only necessary data is processed (Article 25) and must inform residents of their rights, including the right to object and request erasure (Articles 13, 14, 17, 21). If a resident believes their data is being processed unlawfully, they may lodge a complaint with a supervisory authority (Article 77). Without explicit consent or a specific legal basis, mandatory facial recognition registration for access is not allowed.', 'key_snippet': 'Processing of biometric data ... shall be prohibited. 2 Paragraph 1 shall not apply if ... the data subject has given explicit consent ...', 'chunks': ['chapter_ii_article_9', 'chapter_ii_article_7'], 'percentage': ['80', '20']}";"0.90";"0.97";"0.65";"0.53";"1.00";"1.00";"gpt4.1"
"8";"grafo3";"Am I required to provide biometrics to enter a hospital or clinic?";"Not necessarily. Hospitals must justify necessity under Article 9(2)(h), and less intrusive methods should be considered.";"{'answer': 'Processing of biometric data for the purpose of uniquely identifying a natural person is prohibited, unless an exception under Article 9(2) applies, such as explicit consent or necessity for reasons of substantial public interest based on Union or Member State law. Member States may introduce further conditions or limitations regarding biometric data processing. There is no explicit rule in the provided evidence that requires you to provide biometrics to enter a hospital or clinic.', 'full_answer': 'The processing of biometric data for uniquely identifying a person is generally prohibited under Article 9(1). However, Article 9(2) provides exceptions, such as explicit consent, necessity for vital interests, or reasons of substantial public interest based on law. Additionally, Article 9(4) allows Member States to introduce further conditions or limitations regarding biometric data processing. The evidence does not contain any explicit rule or obligation requiring individuals to provide biometric data to access a hospital or clinic. Therefore, unless there is a specific Union or Member State law (not present in the provided context) that mandates biometric data for hospital entry, there is no general requirement for such submission. Any processing of biometric data must comply with the exceptions and safeguards outlined in Article 9.', 'key_snippet': 'Processing of ... biometric data for the purpose of uniquely identifying a natural person ... shall be prohibited.', 'chunks': ['chapter_ii_article_9', 'chapter_ii_article_9'], 'percentage': ['80', '20']}";"0.85";"0.88";"0.07";"0.57";"1.00";"1.00";"gpt4.1"
"9";"grafo3";"Can the company share my pre-employment medical exam with my direct manager?";"No. Health data is sensitive under Article 9 GDPR and must be restricted to authorized personnel.";"{'answer': 'I could not find sufficient evidence in the graph to determine if the company may lawfully share your pre-employment medical exam with your direct manager. The provided rules address processing of health data, obligations of secrecy, and Member State discretion for employment data, but do not explicitly authorize or prohibit such sharing within the company.', 'full_answer': 'The graph contains rules on processing health data (Article 9(2)(h)), obligations of secrecy (Article 90), and Member State discretion for employment data (Article 88). Article 9(2)(h) allows processing of health data for occupational medicine or assessment of working capacity, but only on the basis of law or contract with a health professional and subject to safeguards. Article 90 allows Member States to adopt secrecy rules. Article 88 allows Member States or collective agreements to set more specific rules for employment data. However, none of these provisions explicitly state whether a company may share pre-employment medical exam results with a direct manager. Therefore, there is insufficient evidence in the provided graph to answer the question definitively.', 'key_snippet': 'I could not find sufficient evidence in the graph.', 'chunks': ['chapter II, article 9, point 2h', 'chapter_ix_article_90', 'chapter_ix_article_88'], 'percentage': ['40', '30', '30']}";"0.88";"0.88";"0.55";"0.40";"1.00";"1.00";"gpt4.1"
"10";"grafo3";"Can I be fired for refusing to provide biometric data for a new company system?";"GDPR does not regulate dismissal directly, but refusal may be justified if biometric processing is not necessary or lawful.";"{'answer': 'Processing of biometric data for uniquely identifying a person is prohibited unless an exception applies, such as explicit consent or necessity under employment law with safeguards. Member States may introduce further conditions or limitations regarding biometric data processing. If you believe your rights are infringed by being required to provide biometric data, you have the right to lodge a complaint with a supervisory authority. The legal basis for termination solely for refusal is not explicitly addressed here and may depend on Member State law.', 'full_answer': ""The processing of biometric data for uniquely identifying a person is generally prohibited unless an exception under Article 9(2) applies, such as explicit consent or necessity for employment law obligations with appropriate safeguards. Article 9(4) allows Member States to introduce further conditions or limitations regarding biometric data processing. Article 88(1) also permits Member States or collective agreements to provide specific rules for processing employees' personal data in the employment context. If you refuse to provide biometric data and believe your rights are infringed, Article 77 grants you the right to lodge a complaint with a supervisory authority. However, the provided rules do not explicitly state whether refusal to provide biometric data can be a lawful ground for termination of employment; this may depend on specific Member State law or collective agreements, which are not detailed in the provided context."", 'key_snippet': 'Processing of biometric data for the purpose of uniquely identifying a natural person shall be prohibited. ... Member States may maintain or introduce further conditions, including limitations, with regard to the processing of genetic data, biometric data or data concerning health.', 'chunks': ['chapter_ii_article_9', 'chapter_ix_article_88'], 'percentage': ['80', '20']}";"0.79";"0.98";"0.58";"0.59";"1.00";"1.00";"gpt4.1"
