"type";"question";"gold_answer";"llm_response";"complexity";"saf";"nli";"sim";"relevancy";"faithfulness";"model"
"grafo";"Sou obrigado a dar minha foto para entrar em um hospital ou clínica?";"Depende da finalidade. Se for para identificação de pacientes e acesso a áreas restritas (medicamentos controlados), a base legal é a ""tutela da saúde"" (Art. 11, II, ""f""). No entanto, se houver métodos alternativos menos invasivos (como cartão hospitalar + senha), a biometria pode ser questionável. A ambiguidade está em: o hospital pode recusar atendimento se você negar? Legalmente não, mas pode criar obstáculos operacionais.";"{'resposta': 'Não há obrigação legal de fornecer foto para ingresso em hospital ou clínica. O tratamento de dados pessoais, inclusive fotografia, depende de consentimento específico do titular ou de hipótese legal expressa (art. 11, LGPD). A exigência só é válida se houver finalidade clara, consentimento informado e respeito à privacidade, não podendo ser imposta de forma genérica. O titular pode negar o consentimento, salvo situações excepcionais previstas em lei, como proteção da vida ou cumprimento de obrigação legal.', 'chunks': ['b47f4387', 'a57ec09b'], 'trecho_chave': 'tratamento de dados pessoais sensíveis somente poderá ocorrer quando o titular consentir, de forma específica e destacada, para finalidades específicas', 'percentual': ['60', '40']}";"0.75";"0.77";"0.54";"0.64";"1.00";"1.00";"maritaca"
"grafo";"A empresa de telefonia pode vender a minha foto de cadastro?";"Não, a venda é proibida. Mas a ambiguidade está na ""anonymização"" - a empresa pode argumentar que vende ""dados estatísticos agregados"" que incluem imagens processadas por IA para análise de perfil demográfico. O Art. 7, § 4º permite tratamento para fins legítimos desde que não houver identificação do titular, mas a linha entre ""dados anonimizados"" e ""pseudonimizados"" é tênue.";"{'resposta': 'Não. A empresa de telefonia, como controladora de dados, só pode tratar ou compartilhar sua foto de cadastro (dado pessoal sensível) mediante consentimento específico e destacado do titular, para finalidade determinada, conforme art. 11, I, da LGPD. A venda ou transferência para geração de receita sem autorização expressa é vedada e sujeita a sanções. O titular tem direito de saber como seus dados são usados e pode exigir sua eliminação ao término do contrato (art. 18, VI, LGPD).', 'chunks': ['e9106279', 'b47f4387', 'f9e4ad69'], 'trecho_chave': 'tratamento de dados pessoais sensíveis somente poderá ocorrer [...] quando o titular [...] consentir, de forma específica e destacada, para finalidades específicas', 'percentual': ['50', '30', '20']}";"0.84";"0.73";"0.54";"0.51";"1.00";"1.00";"maritaca"
"grafo";"Fui demitido. A empresa tem que apagar minha foto e digital do relógio de ponto e da catraca?";"A LGPD não é clara sobre prazos. O Art. 46 permite retenção para ""cumprimento de obrigação legal ou regulatória"" - o MTE exige arquivos de empregados por 5 anos após a rescisão. Mas e a digital biométrica? A empresa pode argumentar que precisa mantê-la por esse período ""para fins de auditoria"", mas a ANPD recomenda anonimização após o término da relação jurídica. A ambiguidade: por quanto tempo exatamente?";"{'resposta': 'Sim. Após a demissão, a empresa deve eliminar os dados biométricos e fotográficos do ex-empregado dos sistemas de ponto e acesso, pois o tratamento só é lícito enquanto necessário ao vínculo empregatício. A LGPD impõe a eliminação de dados pessoais ao término da relação, salvo hipóteses legais de conservação (art. 16). O titular tem direito à exclusão de dados desnecessários ou tratados sem consentimento válido, conforme art. 18, VI, da LGPD. A empresa, como controladora, deve garantir a exclusão definitiva dos registros, salvo obrigação legal que justifique a retenção.', 'chunks': ['f9e4ad69', 'f1ac48cc'], 'trecho_chave': 'Obrigação do controlador de eliminar dados pessoais tratados com consentimento do titular, exceto nas hipóteses previstas no art. 16', 'percentual': ['60', '40']}";"0.91";"0.86";"0.51";"0.65";"1.00";"1.00";"maritaca"
"grafo";"Posso recusar o reconhecimento facial no condomínio onde moro?";"É ambíguo. Se o sistema foi aprovado em assembleia, o condomínio pode argumentar ""legítimo interesse coletivo de segurança"". Porém, como biometria é dado sensível, o Art. 11 exige consentimento ou outra base legal específica. O condomínio deve oferecer alternativa (cartão, senha), mas pode cobrar taxa extra por ""sistema alternativo de acesso""? A lei não proíbe explicitamente.";"{'resposta': 'Sim, você pode recusar o reconhecimento facial no condomínio, pois o tratamento de dados pessoais sensíveis, como biometria facial, exige consentimento específico e destacado do titular, conforme o art. 11, I, da LGPD. O condomínio deve informar a finalidade e oferecer alternativas de identificação, respeitando o direito à privacidade e à liberdade do morador. Caso não haja consentimento, o uso só é permitido em hipóteses legais restritas, como prevenção à fraude, mas sempre resguardando direitos fundamentais do titular. O titular pode solicitar outro meio de acesso.', 'chunks': ['b47f4387', 'ffc54078'], 'trecho_chave': 'tratamento de dados pessoais sensíveis somente poderá ocorrer quando o titular consentir, de forma específica e destacada, para finalidades específicas', 'percentual': ['70', '30']}";"0.84";"0.86";"0.94";"0.78";"1.00";"1.00";"maritaca"
"grafo";"Minha escola pode exigir biometria dos meus filhos para entra na escola?";"Para menores, é necessário consentimento específico de um dos pais (Art. 14). Mas há uma brecha: se a escola argumentar ""interesse vital da criança"" (controle de alergias alimentares), pode se enquadrar no Art. 11, II ""f"". A ambiguidade: até que ponto a conveniência operacional da escola sobrepõe-se à privacidade do menor?";"{'resposta': 'A escola pode exigir biometria para controle de acesso, mas deve observar a LGPD. O dado biométrico é sensível (art. 5º, II, LGPD) e só pode ser tratado com consentimento específico e destacado do responsável (art. 11, I), finalidade clara, medidas de segurança e respeito ao melhor interesse da criança (art. 49, §1º). Sem consentimento válido ou base legal alternativa, a exigência é irregular.', 'chunks': ['b47f4387', '49389041', 'd157f57f'], 'trecho_chave': 'tratamento de dados pessoais sensíveis mediante consentimento específico e destacado para finalidades específicas', 'percentual': ['50', '30', '20']}";"0.75";"0.76";"0.55";"0.73";"1.00";"1.00";"maritaca"
"grafo";"Posso exigir que uma empresa apague minha biometria coletada antes da LGPD entrar em vigor?";"A LGPD não tem efeito retroativo (Art. 58), mas dados coletados antes de agosto/2020 ainda estão sendo tratados. A ambiguidade: a empresa precisa obter novo consentimento para continuar tratando dados antigos? A ANPD sugere ""adequação retroativa"", mas não há obrigatoriedade clara de reconsentimento.";"{'resposta': 'Sim, o titular pode solicitar a eliminação de dados biométricos coletados antes da vigência da LGPD, pois a lei assegura o direito de eliminação de dados pessoais tratados com consentimento, salvo exceções legais (art. 18, VI, e art. 16 da LGPD). O controlador deve atender à solicitação, exceto se houver obrigação legal ou regulatória que justifique a conservação. O direito de eliminação abrange todo dado biométrico existente em bancos de dados sob responsabilidade da empresa, desde que não se enquadre nas hipóteses de exceção previstas em lei.', 'chunks': ['f9e4ad69', '5cf8dbf1'], 'trecho_chave': 'Obrigação do controlador de eliminar dados pessoais tratados com consentimento do titular, exceto nas hipóteses previstas no art. 16', 'percentual': ['60', '40']}";"0.57";"0.73";"0.67";"0.42";"1.00";"1.00";"maritaca"
"grafo";"Minha empresa usa biometria para controle de ponto. Posso exigir método alternativo por questões religiosas?";"O Art. 11 permite tratamento de dados sensíveis para ""prevenção à fraude"", mas a Constituição protege a liberdade religiosa (Art. 5º, VI). Se a biometria (impressão digital) é considerada ""marca do anticristo"" por algumas religiões, qual prevalece? A jurisprudência ainda é incipiente no Brasil.";"{'resposta': 'Sim, o colaborador pode solicitar método alternativo ao controle de ponto biométrico por convicção religiosa. A LGPD classifica dados biométricos e convicção religiosa como sensíveis (art. 5º, II) e assegura ao titular direitos fundamentais de liberdade, intimidade e privacidade. O controlador deve fornecer alternativas que respeitem tais direitos, sem ônus ao titular, conforme princípios da lei e garantia de tratamento justo e transparente. A empresa pode formular regras internas para viabilizar alternativas, respeitando a finalidade do tratamento e a proteção dos dados.', 'chunks': ['e9106279', '4d9abb51', 'b9aa2a08'], 'trecho_chave': 'dado pessoal sensível: dado pessoal sobre origem racial ou étnica, convicção religiosa, opinião política, filiação a sindicato ou a organização de caráter religioso, filosófico ou político, dado referente à saúde ou à vida sexual, dado genético ou biométrico, quando vinculado a uma pessoa natural', 'percentual': ['50', '30', '20']}";"0.87";"0.75";"0.54";"0.46";"1.00";"1.00";"maritaca"
"grafo";"O salão de beleza pode exigir minha foto antes e depois do procedimento estético?";"A empresa pode argumentar ""legítimo interesse"" para documentação médica/prova de resultado. Mas a ambiguidade: a foto pode ser usada em redes sociais do salão sem consentimento específico? O Art. 7º, IV permite tratamento para exercício de direitos, mas o Art. 5º, II inclui ""imagem"" como dado sensível quando vinculada a dados pessoais.";"{'resposta': 'O salão de beleza só pode exigir fotos antes e depois se houver consentimento explícito do cliente, conforme a LGPD (Lei 13.709/2018). O tratamento de dados pessoais, incluindo imagens, depende de consentimento do titular (art. 7º, I) e deve respeitar os princípios de finalidade, necessidade e transparência (art. 6º). Sem consentimento, a exigência é ilegal, pois viola direitos fundamentais de privacidade e intimidade. O cliente deve ser informado sobre a finalidade do uso das imagens e pode negar ou revogar o consentimento a qualquer momento.', 'chunks': ['a57ec09b', '9c7da499'], 'trecho_chave': 'mediante o fornecimento de consentimento pelo titular', 'percentual': ['70', '30']}";"0.75";"0.70";"0.54";"0.71";"1.00";"1.00";"maritaca"
"grafo";"Posso me recusar a fornecer biometria em um concurso público?";"O Art. 7º, II permite tratamento para ""execução de políticas públicas"", mas a biometria é dado sensível. Se o concurso é para cargo comum (não envolvendo segurança nacional), é proporcional? A administração pública pode argumentar ""prevenção à fraude"", mas o candidato pode alegar excesso.";"{'resposta': 'Sim, é possível recusar o fornecimento de biometria em concurso público, pois o tratamento de dado biométrico (sensível) depende de consentimento específico e destacado do titular, conforme art. 11, I, da LGPD. O controlador deve informar as consequências da negativa (art. 9º, §4º), mas não pode impor coação. Caso a coleta seja indispensável para prevenção à fraude e segurança, deve demonstrar base legal clara e respeitar direitos fundamentais do candidato.', 'chunks': ['b47f4387', 'f9e4ad69'], 'trecho_chave': 'tratamento de dados pessoais sensíveis somente poderá ocorrer [...] quando o titular [...] consentir, de forma específica e destacada, para finalidades específicas', 'percentual': ['70', '30']}";"0.74";"0.70";"0.56";"0.55";"1.00";"1.00";"maritaca"
"grafo";"A academia pode exigir biometria para liberação de catraca?";"O contrato de adesão pode incluir essa cláusula, mas a LGPD prevalece sobre contratos (Art. 7º, § 3º). A academia precisa demonstrar ""necessidade"" - existe alternativa menos invasiva? Se sim, a exigência pode ser considerada abusiva.";"{'resposta': 'Sim, a academia do condomínio pode exigir biometria para liberação de catraca, desde que o tratamento de dados biométricos seja realizado com consentimento do titular, finalidade específica de controle de acesso, transparência, segurança e respeito à privacidade, conforme a LGPD. O condomínio deve informar claramente os titulares sobre o uso dos dados, indicar encarregado e adotar medidas de proteção, pois dados biométricos são considerados sensíveis (art. 5º, II, LGPD) e seu tratamento exige cautelas adicionais.', 'chunks': ['e9106279', '9c7da499', 'b47f4387', 'a625792a'], 'trecho_chave': 'dado genético ou biométrico, quando vinculado a uma pessoa natural', 'percentual': ['30', '25', '25', '20']}";"0.93";"0.66";"0.54";"0.53";"1.00";"1.00";"maritaca"
