"id";"type";"classes";"grounding";"question";"gold_answer";"llm_response";"has_rule";"rules_count";"has_context";"contexts_count";"complexity";"saf";"nli";"sim";"model"
"1";"grafo";":Article";"chapter I, article 1, point 1, chapter I, article 1, point 2, chapter I, article 1, point 3";"What is the subject matter of Article 1 of the GDPR Regulation?";"Article 1 lays down rules relating to the protection of natural persons with regard to the processing of personal data and rules relating to the free movement of personal data.";"Article 1 of the GDPR Regulation establishes rules concerning the protection of natural persons regarding the processing of personal data and the free movement of such data within the Union. It also protects the fundamental rights and freedoms of natural persons, particularly their right to the protection of personal data. The free movement of personal data shall not be restricted or prohibited for reasons related to the protection of natural persons.";"1";"20";"1";"50";"1";"0.95";"0.56";"0.76";"gemini"
"2";"grafo";":Article :OutsideMaterialScope";"chapter I, article 2, point 1, chapter I, article 2, point 2, chapter I, article 2, point 2a, chapter I, article 2, point 2b, chapter I, article 2, point 2c, chapter I, article 2, point 2d, chapter I, article 2, point 4";"What is the material scope of Article 2 of the GDPR Regulation?";"Article 2 of the GDPR Regulation applies to the processing of personal data wholly or partly by automated means and to the processing other than by automated means of personal data which form part of a filing system or are intended to form part of a filing system. It does not apply to the processing of personal data in the course of an activity which falls outside the scope of Union law, by the Member States when carrying out activities which fall within the scope of Chapter 2 of Title V of the TEU, by a natural person in the course of a purely personal or household activity, or by competent authorities for the purposes of the prevention, investigation, detection or prosecution of criminal offences or the execution of criminal penalties, including the safeguarding against and the prevention of threats to public security.";"Article 2 of the GDPR Regulation defines its material scope. It applies to the processing of personal data wholly or partly by automated means, and to non-automated processing of personal data that forms part of a filing system or is intended to do so. However, it does not apply to purely personal or household activities, nor to processing by competent authorities for criminal offences or public security threats. It also excludes processing by Member States for activities outside Union law scope or falling under Chapter 2 of Title V of the TEU. The Regulation is without prejudice to Directive 2000/31/EC regarding intermediary liability.";"1";"20";"1";"50";"2";"0.82";"0.10";"0.91";"gemini"
"3";"grafo";":Processing :PersonalData :DataSubject :Controller :Processor :Article";"chapter I, article 3, point 2, chapter I, article 3, point 2a, chapter I, article 3, point 2b";"To which processing activities does Article 3 of the GDPR Regulation apply when personal data of data subjects who are in the Union is processed by a controller or processor not established in the Union?";"Article 3 of the GDPR Regulation applies to the processing of personal data of data subjects who are in the Union by a controller or processor not established in the Union, where the processing activities are related to (a) the offering of goods or services, irrespective of whether a payment of the data subject is required, to such data subjects in the Union; or (b) the monitoring of their behaviour as far as their behaviour takes place within the Union.";"Article 3 of the GDPR Regulation applies to the processing of personal data of data subjects in the Union by a controller or processor not established in the Union when such processing involves the offering of goods or services to those data subjects in the Union, or the monitoring of their behavior within the Union. This is established by Chapter I, Article 3, Point 2, and further specified in Points 2a and 2b.";"1";"12";"1";"50";"6";"0.77";"0.91";"0.85";"gemini"
"4";"grafo";":Processing :Article";"chapter I, article 4, point 2";"What is the definition of 'processing' according to Article 4 of the GDPR Regulation?";"'Processing' means any operation or set of operations which is performed on personal data or on sets of personal data, whether or not by automated means, such as collection, recording, organisation, structuring, storage, adaptation or alteration, retrieval, consultation, use, disclosure by transmission, dissemination or otherwise making available, alignment or combination, restriction, erasure or destruction.";"According to Article 4 of the GDPR Regulation, 'processing' is defined as any operation or set of operations performed on personal data or sets of personal data, whether automated or not. This includes actions such as collection, recording, organization, structuring, storage, adaptation, retrieval, consultation, use, disclosure, alignment, restriction, erasure, or destruction. (Source: chapter I, article 4, point 2)";"1";"13";"1";"50";"2";"0.80";"0.57";"0.69";"gemini"
"5";"grafo";":CrossBorderTransfer :Processing :Article";"chapter I, article 4, point 23, chapter I, article 4, point 23a, chapter I, article 4, point 23b";"What is the definition of 'cross-border processing' according to Article 4?";"Either processing of personal data which takes place in the context of the activities of establishments in more than one Member State of a controller or processor in the Union where the controller or processor is established in more than one Member State; or processing of personal data which takes place in the context of the activities of a single establishment of a controller or processor in the Union but which substantially affects or is likely to substantially affect data subjects in more than one Member State.";"According to Article 4, 'cross-border processing' refers to processing activities that occur in more than one Member State, either involving establishments in multiple Member States or affecting data subjects in more than one Member State.";"1";"13";"1";"50";"3";"0.94";"0.64";"0.58";"gemini"
"6";"grafo";":Principle :Processing :PersonalData :Article";"chapter II, article 5, point 1a, chapter II, article 5, point 1b, chapter II, article 5, point 1c, chapter II, article 5, point 1d, chapter II, article 5, point 1e, chapter II, article 5, point 1f";"What are the six principles relating to processing of personal data according to Article 5?";"The six principles relating to processing of personal data according to Article 5 are: (a) processed lawfully, fairly and in a transparent manner in relation to the data subject (‘lawfulness, fairness and transparency’); (b) collected for specified, explicit and legitimate purposes and not further processed in a manner that is incompatible with those purposes (‘purpose limitation’); (c) adequate, relevant and limited to what is necessary in relation to the purposes for which they are processed (‘data minimisation’); (d) accurate and, where necessary, kept up to date (‘accuracy’); (e) kept in a form which permits identification of data subjects for no longer than is necessary for the purposes for which the personal data are processed (‘storage limitation’); and (f) processed in a manner that ensures appropriate security of the personal data, including protection against unauthorised or unlawful processing and against accidental loss, destruction or damage, using appropriate technical or organisational measures (‘integrity and confidentiality’).";"Article 5 of the GDPR outlines six core principles for processing personal data: lawfulness, fairness, and transparency; purpose limitation; data minimisation; accuracy; storage limitation; and integrity and confidentiality. These principles ensure that personal data is processed legally, ethically, and securely.";"1";"13";"1";"50";"4";"0.90";"0.98";"0.75";"gemini"
"7";"grafo";":PersonalData :Processing :LawfulBasisForProcessing :LawfulnessFairnessAndTransparency";"chapter II, article 6, point 1, chapter II, article 6, point 1a, chapter II, article 6, point 1b, chapter II, article 6, point 1c, chapter II, article 6, point 1d, chapter II, article 6, point 1e, chapter II, article 6, point 1f, chapter II, article 6, point 2, chapter II, article 6, point 3b, chapter II, article 6, point 3a";"Under what circumstances is processing of personal data considered lawful according to Article 6?";"Processing of personal data is considered lawful if at least one of the following applies: (a) the data subject has given consent to the processing of his or her personal data for one or more specific purposes; (b) processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract; (c) processing is necessary for compliance with a legal obligation to which the controller is subject; (d) processing is necessary in order to protect the vital interests of the data subject or of another natural person; (e) processing is necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller; (f) processing is necessary for the purposes of the legitimate interests pursued by the controller or by a third party, except where such interests are overridden by the interests or fundamental rights and freedoms of the data subject which require protection of personal data, in particular where the data subject is a child.";"Processing of personal data is considered lawful under Article 6 if at least one of the following conditions is met: consent of the data subject, necessity for contract performance, necessity for legal obligation compliance, necessity to protect vital interests, necessity for a task in the public interest or exercise of official authority, or necessity for legitimate interests pursued by the controller, provided these are not overridden by the data subject's rights. Member States may also introduce specific provisions to adapt these rules.";"1";"25";"1";"50";"4";"0.98";"0.76";"0.67";"gemini"
"8";"grafo";":Consent :DataSubject :GivenConsent :ObtainingConsent :ObligationForObtainingConsent :ShouldBeDistinguishableFromOtherMatters :ValidConsent :Controller";"chapter II, article 7, point 2";"What should the request for consent be presented as, if the data subject's consent is given in the context of a written declaration which also concerns other matters?";"The request for consent shall be presented in a manner which is clearly distinguishable from the other matters, in an intelligible and easily accessible form, using clear and plain language.";"When consent is given within a written declaration that includes other matters, the request for consent must be presented clearly and distinctly from those other matters. It needs to be intelligible, easily accessible, and use clear, plain language.";"1";"31";"1";"50";"8";"0.99";"1.00";"0.91";"gemini"
"9";"grafo";":PersonalData :Processing :DataSubject :LawfulBasisForProcessing";"chapter II, article 8, point 1, chapter II, article 8, point 2, chapter II, article 8, point text_2, chapter II, article 8, point 3";"Under what conditions is the processing of personal data of a child lawful in relation to the offer of information society services directly to a child according to Article 8?";"The processing of personal data of a child shall be lawful where the child is at least 16 years old. Where the child is below the age of 16 years, such processing shall be lawful only if and to the extent that consent is given or authorised by the holder of parental responsibility over the child. Member States may provide by law for a lower age for those purposes provided that such lower age is not below 13 years.";"The processing of a child's personal data for information society services is lawful if the child is at least 16 years old. If the child is younger than 16, processing is lawful only if parental consent is obtained or authorized by the holder of parental responsibility. Member States may set a lower age limit, but not below 13 years.";"1";"25";"1";"50";"4";"0.98";"0.54";"0.94";"gemini"
"10";"grafo";":Processing :PersonalData :SensitivePersonalData :LawfulBasisForProcessing";"chapter II, article 9, point 1, chapter II, article 9, point 2a, chapter II, article 9, point 2b, chapter II, article 9, point 2c, chapter II, article 9, point 2d, chapter II, article 9, point 2e, chapter II, article 9, point 2f, chapter II, article 9, point 2g, chapter II, article 9, point 2h, chapter II, article 9, point 2i, chapter II, article 9, point 2j";"Under what circumstances is processing of personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, or trade union membership allowed?";"Processing of personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, or trade union membership is allowed if the data subject has given explicit consent to the processing of those personal data for one or more specified purposes, except where Union or Member State law provide that the prohibition referred to in paragraph 1 may not be lifted by the data subject; processing is necessary for the purposes of carrying out the obligations and exercising specific rights of the controller or of the data subject in the field of employment and social security and social protection law in so far as it is authorised by Union or Member State law or a collective agreement pursuant to Member State law providing for appropriate safeguards for the fundamental rights and the interests of the data subject; processing is necessary to protect the vital interests of the data subject or of another natural person where the data subject is physically or legally incapable of giving consent; processing is carried out in the course of its legitimate activities with appropriate safeguards by a foundation, association or any other not-for-profit body with a political, philosophical, religious or trade union aim and on condition that the processing relates solely to the members or to former members of the body or to persons who have regular contact with it in connection with its purposes and that the personal data are not disclosed outside that body without the consent of the data subjects; processing relates to personal data which are manifestly made public by the data subject; processing is necessary for the establishment, exercise or defence of legal claims or whenever courts are acting in their judicial capacity; processing is necessary for reasons of substantial public interest, on the basis of Union or Member State law which shall be proportionate to the aim pursued, respect the essence of the right to data protection and provide for suitable and specific measures to safeguard the fundamental rights and the interests of the data subject; processing is necessary for reasons of public interest in the area of public health, such as protecting against serious cross-border threats to health or ensuring high standards of quality and safety of health care and of medicinal products or medical devices, on the basis of Union or Member State law which provides for suitable and specific measures to safeguard the rights and freedoms of the data subject, in particular professional secrecy; processing is necessary for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes in accordance with Article 89(1) based on Union or Member State law which shall be proportionate to the aim pursued, respect the essence of the right to data protection and provide for suitable and specific measures to safeguard the fundamental rights and the interests of the data subject.";"Processing of sensitive personal data, including racial or ethnic origin, political opinions, religious or philosophical beliefs, or trade union membership, is prohibited unless specific conditions are met. These conditions include explicit consent, processing for employment law and social security obligations, protection of vital interests, actions by not-for-profit bodies with a political, philosophical, religious or trade union aim, data made manifestly public by the data subject, legal claims, substantial public interest, preventive or occupational medicine and health care, public health reasons, or for archiving, research, or statistical purposes under specific safeguards. (chapter II, article 9, point 1; chapter II, article 9, point 2a; chapter II, article 9, point 2b; chapter II, article 9, point 2c; chapter II, article 9, point 2d; chapter II, article 9, point 2e; chapter II, article 9, point 2f; chapter II, article 9, point 2g; chapter II, article 9, point 2h; chapter II, article 9, point 2i; chapter II, article 9, point 2j)";"1";"25";"1";"50";"4";"0.74";"0.15";"0.72";"gemini"
"11";"grafo";":Controller :ControllerObligation :Processing :PersonalData :IdentificationOfDataSubject :ExclusionException :ExemptedWithoutProofOfDataSubjectIdentity";"chapter II, article 11, point 1, chapter II, article 11, point 2";"What are the obligations of a controller if the purposes for which they process personal data do not require identification of the data subject?";"If the purposes for which a controller processes personal data do not or do no longer require the identification of a data subject by the controller, the controller shall not be obliged to maintain, acquire or process additional information in order to identify the data subject for the sole purpose of complying with this Regulation.";"If the purposes for processing personal data do not require the identification of the data subject, the controller is not obligated to maintain, acquire, or process additional information solely for identification purposes, according to Article 11(1). However, the controller must inform the data subject when they are unable to identify them, as per Article 11(2).";"1";"22";"1";"50";"7";"0.81";"0.54";"0.64";"gemini"
