"type";"question";"gold_answer";"llm_response";"complexity";"saf";"nli";"sim";"relevancy";"faithfulness";"model"
"grafo";"Fui demitido. A empresa tem que apagar minha foto e digital do relógio de ponto e da catraca?";"Depende. A empresa pode manter os dados biométricos pelo tempo necessário para cumprir obrigações legais trabalhistas (ex.: comprovação de jornada em eventual ação judicial), com base no art. 16, I da LGPD. Após esse prazo, deve eliminá-los. Se você pedir a eliminação antes disso, a empresa poderá recusar alegando obrigação legal.";"{'resposta': 'A empresa, como controladora dos dados, deve eliminar foto e biometria do ex-funcionário dos sistemas de ponto e catraca após o término do vínculo, conforme a LGPD. O trecho-chave: ""eliminação: exclusão de dado ou de conjunto de dados armazenados em banco de dados"" fundamenta essa obrigação.', 'resposta_completa': 'A Lei Geral de Proteção de Dados (LGPD) determina que, após o término do vínculo empregatício, a empresa deve eliminar os dados pessoais do ex-funcionário, incluindo foto e biometria utilizados em sistemas de controle de ponto e catraca. Esses dados são considerados pessoais e sensíveis, conforme o art. 5º da LGPD, e sua manutenção só é permitida se houver justificativa legal, como obrigação regulatória ou exercício regular de direitos. Caso não haja fundamento legal para a retenção, a eliminação é obrigatória, garantindo os direitos do titular e a proteção de sua privacidade.', 'chunks': ['e9106279'], 'trecho_chave': 'eliminação: exclusão de dado ou de conjunto de dados armazenados em banco de dados, independentemente do procedimento empregado', 'percentual': ['100']}";"0.79";"0.78";"0.54";"0.69";"1.00";"1.00";"maritaca"
"grafo";"Posso me recusar a dar minha digital para o relógio de ponto da empresa?";"Ambíguo. A biometria é dado sensível (art. 5º, II), mas o registro de jornada é obrigação legal (CLT, art. 74). O TST admite o uso de biometria para ponto. A empresa pode ter base legal no ""cumprimento de obrigação legal"" (art. 7º, II), sem precisar de consentimento. Porém, deve oferecer alternativa proporcional se o funcionário se recusar.";"{'resposta': 'O fornecimento da digital para o relógio de ponto envolve tratamento de dado biométrico, considerado sensível. O titular tem direito à informação sobre a finalidade, possibilidade de não fornecer consentimento e consequências, conforme art. 18 da LGPD.', 'resposta_completa': 'O uso da digital para controle de ponto configura tratamento de dado biométrico, classificado como dado pessoal sensível pela LGPD. O titular dos dados, ou seja, o funcionário, tem direito de ser informado sobre a finalidade do tratamento, as consequências da recusa e pode solicitar informações, acesso, eliminação ou bloqueio dos dados, conforme art. 18 da LGPD. O consentimento deve ser livre, informado e destacado, salvo se o tratamento for necessário para cumprimento de obrigação legal ou regulatória pelo empregador. Assim, a recusa pode ser legítima, mas a empresa pode justificar a necessidade do dado para cumprir obrigações trabalhistas.', 'chunks': ['f9e4ad69', 'b47f4387'], 'trecho_chave': 'VIII - informação sobre a possibilidade de não fornecer consentimento e sobre as consequências da negativa;'}";"0.62";"0.69";"0.54";"0.56";"1.00";"1.00";"maritaca"
"grafo";"A empresa pode usar minha foto do crachá em campanhas publicitárias sem pedir minha autorização?";"Não. O uso da imagem para fins de publicidade é finalidade diferente da coleta original (crachá para identificação interna). Viola o princípio da finalidade (art. 6º, I). Exige consentimento específico para essa nova finalidade.";"{'resposta': 'O uso da foto do crachá em campanhas publicitárias pela empresa exige consentimento do titular, conforme obrigação de consentimento explícito para tratamento e compartilhamento de dados pessoais. O titular tem direito à informação e pode revogar o consentimento a qualquer momento.', 'resposta_completa': 'A empresa, como controladora dos dados pessoais, só pode utilizar a foto do crachá do titular em campanhas publicitárias, seja para divulgação institucional ou promoção, mediante consentimento explícito do titular. Isso decorre da obrigação legal de obter consentimento para o tratamento e compartilhamento de dados pessoais, conforme previsto na legislação. O titular tem direito de ser informado sobre o uso de seus dados, pode solicitar acesso, correção, eliminação ou revogação do consentimento a qualquer momento. O uso sem consentimento viola os direitos fundamentais de liberdade, intimidade e privacidade do titular, podendo gerar obrigação de reparação de danos.', 'chunks': ['f9e4ad69', 'd157f57f'], 'trecho_chave': 'Art. 18 O titular dos dados pessoais tem direito a obter do controlador [...] informação sobre a possibilidade de não fornecer consentimento e sobre as consequências da negativa'}";"0.67";"0.81";"0.54";"0.39";"1.00";"1.00";"maritaca"
"grafo";"Meu empregador instalou câmera apontada diretamente para minha mesa. Isso é permitido?";"É zona cinzenta. Câmeras no ambiente de trabalho são permitidas para segurança e controle, mas devem respeitar o princípio da necessidade (art. 6º, III). Câmera focada exclusivamente em um funcionário pode configurar monitoramento desproporcional. O TST já decidiu que câmeras em posição degradante ou em locais íntimos são proibidas.";"{'resposta': 'A instalação de câmeras no ambiente de trabalho pode ser permitida para fins de segurança e monitoramento, desde que respeite direitos fundamentais de liberdade, intimidade e privacidade do trabalhador, conforme previsto na legislação de proteção de dados pessoais.', 'resposta_completa': 'A instalação de câmeras direcionadas ao posto de trabalho é possível, desde que o empregador respeite os direitos fundamentais de liberdade, intimidade e privacidade do colaborador, conforme previsto na Lei Geral de Proteção de Dados (LGPD). O monitoramento deve ser justificado por legítimo interesse, como segurança do ambiente, e não pode ser excessivo ou invadir a esfera íntima do trabalhador. O empregador deve informar claramente sobre a finalidade do monitoramento, garantir medidas de segurança e possibilitar acesso às informações gravadas pelo titular dos dados. O uso das imagens deve ser restrito à finalidade informada e não pode ser utilizado para prejudicar o empregado. O trecho-chave da legislação destaca: ""Garantir ao titular os direitos fundamentais de liberdade, intimidade e privacidade.""', 'chunks': ['4d9abb51', '7b6b9e10'], 'trecho_chave': 'Garantir ao titular os direitos fundamentais de liberdade, intimidade e privacidade.', 'percentual': ['60', '40']}";"0.67";"0.83";"0.54";"0.74";"1.00";"1.00";"maritaca"
"grafo";"A empresa pode instalar câmera no banheiro ou vestiário alegando segurança?";"Não. Viola direito à intimidade (art. 5º, X da CF) e o princípio de não discriminação da LGPD. Nenhuma base legal da LGPD ampara essa prática em locais de nudez ou higiene íntima.";"{'resposta': 'A instalação de câmeras em banheiros ou vestiários, mesmo sob alegação de segurança, viola princípios da LGPD, como necessidade, adequação e respeito à privacidade. O tratamento de dados deve ser limitado ao mínimo necessário, evitando exposição excessiva e inadequada.', 'resposta_completa': 'A instalação de câmeras em banheiros ou vestiários por empresa ou entidade privada, ainda que sob justificativa de segurança patrimonial ou física, afronta princípios fundamentais da Lei Geral de Proteção de Dados (LGPD), especialmente os princípios da necessidade, adequação e respeito à privacidade. O art. 6º da LGPD determina que o tratamento de dados deve ser limitado ao mínimo necessário para a finalidade pretendida, sendo vedado o tratamento excessivo ou incompatível com o contexto. A captação de imagens em ambientes íntimos, como banheiros e vestiários, expõe dados pessoais sensíveis e viola a privacidade dos titulares, não se justificando nem mesmo por razões de segurança. Além disso, o art. 46 reforça a obrigação de adotar medidas para evitar tratamento inadequado ou ilícito. Portanto, a instalação de câmeras nesses locais é incompatível com a legislação vigente.', 'chunks': ['9c7da499', '44589f1c'], 'trecho_chave': 'Art. 6º As atividades de tratamento de dados pessoais deverão observar a boa-fé e os seguintes princípios: III - necessidade: limitação do tratamento ao mínimo necessário para a realização de suas finalidades [...] VII - segurança: utilização de medidas técnicas e administrativas aptas a proteger os dados pessoais de acessos não autorizados [...]'}";"0.57";"0.81";"0.54";"0.54";"1.00";"1.00";"maritaca"
"grafo";"Posso exigir que a academia apague minha digital depois que cancelo a matrícula?";"Sim. Após o término da relação contratual, a finalidade do tratamento se encerra (art. 15, I). Você pode solicitar a eliminação com base no art. 18, VI. A academia poderá manter apenas o mínimo necessário para obrigações legais remanescentes.";"{'resposta': 'O titular dos dados pode solicitar a eliminação da biometria (digital) após o cancelamento da matrícula na academia, conforme o direito previsto no art. 18 da LGPD: ""eliminação dos dados pessoais tratados com o consentimento do titular"". A exclusão deve ser gratuita.', 'resposta_completa': 'A Lei Geral de Proteção de Dados (LGPD) assegura ao titular dos dados o direito de solicitar a eliminação de seus dados pessoais, incluindo biometria, após o término da relação contratual, como no caso do cancelamento da matrícula em academia. O art. 18 da LGPD prevê expressamente que o titular pode requerer a eliminação dos dados pessoais tratados com seu consentimento, salvo exceções legais. Assim, a academia deve atender ao pedido de exclusão da digital, sem custos ao titular, salvo se houver obrigação legal de manter os dados por prazo determinado. O procedimento deve ser formalizado pelo titular e a academia deve comprovar a exclusão, garantindo a privacidade e os direitos do usuário.', 'chunks': ['f9e4ad69', 'f1ac48cc'], 'trecho_chave': 'eliminação dos dados pessoais tratados com o consentimento do titular, exceto nas hipóteses previstas no art. 16 desta Lei'}";"0.89";"0.66";"0.54";"0.66";"1.00";"1.00";"maritaca"
"grafo";"O condomínio pode obrigar moradores a cadastrar o rosto no sistema de reconhecimento facial para entrar?";"Ambíguo. Reconhecimento facial é dado biométrico sensível. Exige base legal robusta. O legítimo interesse pode ser invocado para segurança, mas o morador pode se opor (art. 18, §2º). A ANPD ainda não pacificou se assembleia de condomínio substitui o consentimento individual.";"{'resposta': 'O condomínio só pode exigir cadastro biométrico facial para acesso se houver consentimento específico do morador, pois se trata de dado pessoal sensível. Exceção ocorre apenas se for indispensável para prevenção à fraude e segurança, conforme a LGPD.', 'resposta_completa': 'O cadastro biométrico facial para controle de acesso em condomínio envolve tratamento de dado pessoal sensível, conforme art. 5º, II, da LGPD. O art. 11 da LGPD determina que o tratamento desses dados só pode ocorrer com consentimento específico e destacado do titular, salvo hipóteses excepcionais, como prevenção à fraude e segurança do titular em processos de identificação e autenticação em sistemas eletrônicos. Mesmo nessa hipótese, os direitos e liberdades fundamentais do titular devem ser resguardados. Portanto, a obrigatoriedade do cadastro só é legítima se houver consentimento ou se for comprovadamente indispensável para segurança, sem prevalecer direitos e liberdades fundamentais do morador.', 'chunks': ['b47f4387', 'e9106279'], 'trecho_chave': 'Art. 11 O tratamento de dados pessoais sensíveis somente poderá ocorrer nas seguintes hipóteses: I - quando o titular ou seu responsável legal consentir, de forma específica e destacada, para finalidades específicas; ... ou g) garantia da prevenção à fraude e à segurança do titular, nos processos de identificação e autenticação de cadastro em sistemas eletrônicos, resguardados os direitos mencionados no art. 9º desta Lei e exceto no caso de prevalecerem direitos e liberdades fundamentais do titular que exijam a proteção dos dados pessoais.', 'percentual': ['80', '20']}";"0.85";"0.81";"0.33";"0.64";"1.00";"0.50";"maritaca"
"grafo";"Sou obrigado a dar minha biometria/foto para entrar em um hospital ou clínica?";"Não necessariamente. O hospital pode ter base legal na ""tutela da saúde"" (art. 11, II, f), mas deve oferecer alternativa de identificação. Exigir biometria como única forma de acesso para quem não consentiu pode ser desproporcional.";"{'resposta': 'A coleta de biometria ou foto para acesso a hospital ou clínica envolve tratamento de dados pessoais sensíveis, exigindo consentimento do titular, finalidade legítima, transparência e limitação ao mínimo necessário, conforme art. 6º e art. 5º da LGPD. O titular deve ser informado sobre a finalidade e consequências da recusa.', 'resposta_completa': 'A obrigatoriedade de fornecer biometria ou foto para acessar hospital ou clínica está condicionada à observância da Lei Geral de Proteção de Dados (LGPD). Dados biométricos e fotográficos são considerados dados pessoais sensíveis (art. 5º, II), cujo tratamento exige consentimento do titular, salvo exceções legais. O art. 6º da LGPD determina que o tratamento deve observar princípios como finalidade, necessidade, transparência e segurança. Assim, o hospital ou clínica deve informar claramente a finalidade da coleta, garantir que seja limitada ao mínimo necessário e possibilitar ao titular o acesso às informações sobre o tratamento. O titular tem direito de ser informado sobre as consequências da recusa em fornecer tais dados. Não há previsão legal que imponha obrigatoriedade absoluta, devendo ser analisada a real necessidade e proporcionalidade da medida.', 'chunks': ['e9106279', '9c7da499'], 'trecho_chave': 'II - dado pessoal sensível: dado pessoal sobre [...] dado genético ou biométrico, quando vinculado a uma pessoa natural; Art. 6º As atividades de tratamento de dados pessoais deverão observar a boa-fé e os seguintes princípios: I - finalidade [...] III - necessidade: limitação do tratamento ao mínimo necessário para a realização de suas finalidades'}";"0.82";"0.81";"0.54";"0.57";"1.00";"1.00";"maritaca"
"grafo";"A empresa pode compartilhar meu exame médico admissional com o meu gestor direto?";"Não. Dados de saúde são sensíveis (art. 5º, II) e o médico do trabalho só pode informar ao empregador se o funcionário está apto ou inapto — nunca o diagnóstico. Compartilhar o laudo completo viola o art. 11 e o sigilo médico.";"{'resposta': 'O exame médico admissional contém dados pessoais sensíveis, como informações de saúde, e seu compartilhamento com o gestor direto só pode ocorrer se houver base legal, como consentimento do titular ou obrigação legal. O tratamento inadequado pode gerar responsabilidade à empresa.', 'resposta_completa': 'O exame médico admissional é considerado dado pessoal sensível, conforme art. 5º, II, da LGPD, pois envolve informações sobre saúde. O compartilhamento desses dados entre empresa e gestor direto só é permitido se houver base legal adequada, como consentimento explícito do titular ou obrigação legal/regulatória. O uso inadequado ou sem respaldo legal pode gerar responsabilidade civil à empresa, conforme art. 42 da LGPD. O gestor direto, ao receber tais informações, também se enquadra como agente de tratamento e deve observar as normas de proteção de dados. O compartilhamento deve ser restrito ao mínimo necessário e sempre respeitando os princípios da legislação de proteção de dados.', 'chunks': ['e9106279', '82b9f0a4'], 'trecho_chave': 'II - dado pessoal sensível: dado pessoal sobre [...] dado referente à saúde [...] quando vinculado a uma pessoa natural; Art. 42 O controlador ou o operador que, em razão do exercício de atividade de tratamento de dados pessoais, causar a outrem dano patrimonial, moral, individual ou coletivo, em violação à legislação de proteção de dados pessoais, é obrigado a repará-lo.', 'percentual': ['70', '30']}";"0.75";"0.81";"0.54";"0.66";"1.00";"1.00";"maritaca"
"grafo";"Posso ser demitido por me recusar a fornecer dados biométricos para um novo sistema da empresa?";"Zona cinzenta trabalhista. Se a empresa tiver base legal sólida (obrigação regulatória, ex.: Portaria 671 para ponto eletrônico), a recusa pode ser considerada descumprimento de instrução. Se não houver base legal, a demissão por justa causa seria contestável.";"{'resposta': 'A coleta de dados biométricos é considerada tratamento de dado pessoal sensível, exigindo consentimento específico do titular, conforme a LGPD. O empregado tem direito de ser informado sobre a finalidade e as consequências da recusa, conforme art. 18, VIII. Demissão por recusa pode ser questionada.', 'resposta_completa': 'A Lei Geral de Proteção de Dados (LGPD) classifica dados biométricos como dados pessoais sensíveis (art. 5º, II). O tratamento desses dados exige consentimento específico e destacado do titular, salvo exceções legais. O empregado tem direito de ser informado sobre a possibilidade de não fornecer consentimento e as consequências da negativa (art. 18, VIII). Assim, a empresa deve informar claramente a finalidade da coleta e as consequências da recusa. A demissão por recusa ao fornecimento de dado biométrico pode ser questionada judicialmente, especialmente se não houver justificativa legal ou contratual clara para a exigência, podendo configurar violação de direitos fundamentais de liberdade, intimidade e privacidade do trabalhador.', 'chunks': ['e9106279', 'f9e4ad69'], 'trecho_chave': 'II - dado pessoal sensível: dado pessoal sobre [...] dado genético ou biométrico, quando vinculado a uma pessoa natural; [...] VIII - informação sobre a possibilidade de não fornecer consentimento e sobre as consequências da negativa;', 'percentual': ['60', '40']}";"0.89";"0.94";"0.54";"0.53";"1.00";"1.00";"maritaca"
