"id";"type";"classes";"grounding";"question";"gold_answer";"llm_response";"has_rule";"rules_count";"has_context";"contexts_count";"complexity";"saf";"nli";"sim";"model"
"1";"grafo";":Article :LegalResource";"chapter I, article 1, point 1, chapter I, article 1, point 3";"What is the subject matter of Article 1 of the GDPR Regulation?";"Article 1 lays down rules relating to the protection of natural persons with regard to the processing of personal data and rules relating to the free movement of personal data.";"Article 1 of the GDPR sets out the Regulation's subject matter: it establishes rules for the protection of natural persons regarding personal data processing and rules for the free movement of such data within the Union, ensuring these rights are not restricted for data protection reasons.";"1";"20";"1";"50";"2";"0.97";"0.55";"0.72";"maritaca"
"2";"grafo";":Article :OutsideMaterialScope";"chapter I, article 2, point 1, chapter I, article 2, point 2c";"What is the material scope of Article 2 of the GDPR Regulation?";"Article 2 of the GDPR Regulation applies to the processing of personal data wholly or partly by automated means and to the processing other than by automated means of personal data which form part of a filing system or are intended to form part of a filing system. It does not apply to the processing of personal data in the course of an activity which falls outside the scope of Union law, by the Member States when carrying out activities which fall within the scope of Chapter 2 of Title V of the TEU, by a natural person in the course of a purely personal or household activity, or by competent authorities for the purposes of the prevention, investigation, detection or prosecution of criminal offences or the execution of criminal penalties, including the safeguarding against and the prevention of threats to public security.";"Article 2 of the GDPR defines its material scope by establishing that the Regulation applies to the processing of personal data wholly or partly by automated means, and to non-automated processing if the data form part of a filing system. It also lists specific exclusions, such as purely personal or household activities and certain public security and criminal law processing.";"1";"20";"1";"50";"2";"0.85";"0.55";"0.67";"maritaca"
"3";"grafo";":Processing :PersonalData :DataSubject :Controller :Processor :Article";"chapter I, article 3, point 2, chapter I, article 3, point 2a, chapter I, article 3, point 2b";"To which processing activities does Article 3 of the GDPR Regulation apply when personal data of data subjects who are in the Union is processed by a controller or processor not established in the Union?";"Article 3 of the GDPR Regulation applies to the processing of personal data of data subjects who are in the Union by a controller or processor not established in the Union, where the processing activities are related to (a) the offering of goods or services, irrespective of whether a payment of the data subject is required, to such data subjects in the Union; or (b) the monitoring of their behaviour as far as their behaviour takes place within the Union.";"Article 3 of the GDPR applies to processing activities by a controller or processor not established in the Union when these activities relate to: (a) offering goods or services to data subjects in the Union, regardless of payment; or (b) monitoring the behavior of data subjects within the Union.";"1";"12";"1";"50";"6";"0.97";"1.00";"0.93";"maritaca"
"4";"grafo";":Processing :Article";"chapter I, article 4, point 2";"What is the definition of 'processing' according to Article 4 of the GDPR Regulation?";"'Processing' means any operation or set of operations which is performed on personal data or on sets of personal data, whether or not by automated means, such as collection, recording, organisation, structuring, storage, adaptation or alteration, retrieval, consultation, use, disclosure by transmission, dissemination or otherwise making available, alignment or combination, restriction, erasure or destruction.";"According to Article 4, point 2 of the GDPR, 'processing' means any operation or set of operations performed on personal data or sets of personal data, whether or not by automated means, such as collection, recording, organisation, structuring, storage, adaptation, retrieval, consultation, use, disclosure, dissemination, alignment, restriction, erasure or destruction.";"1";"13";"1";"50";"2";"0.99";"0.55";"0.71";"maritaca"
"5";"grafo";":CrossBorderTransfer :Processing :Article";"chapter I, article 4, point 23, chapter I, article 4, point 23a, chapter I, article 4, point 23b";"What is the definition of 'cross-border processing' according to Article 4?";"Either processing of personal data which takes place in the context of the activities of establishments in more than one Member State of a controller or processor in the Union where the controller or processor is established in more than one Member State; or processing of personal data which takes place in the context of the activities of a single establishment of a controller or processor in the Union but which substantially affects or is likely to substantially affect data subjects in more than one Member State.";"'Cross-border processing' under Article 4 means either (a) processing by establishments of a controller or processor in more than one EU Member State, or (b) processing by a single establishment that substantially affects data subjects in more than one Member State.";"1";"13";"1";"50";"3";"0.93";"0.78";"0.70";"maritaca"
"6";"grafo";":Principle :Processing :PersonalData :Article";"chapter II, article 5, point 1a, chapter II, article 5, point 1b, chapter II, article 5, point 1c, chapter II, article 5, point 1d, chapter II, article 5, point 1e, chapter II, article 5, point 1f";"What are the six principles relating to processing of personal data according to Article 5?";"The six principles relating to processing of personal data according to Article 5 are: (a) processed lawfully, fairly and in a transparent manner in relation to the data subject (‘lawfulness, fairness and transparency’); (b) collected for specified, explicit and legitimate purposes and not further processed in a manner that is incompatible with those purposes (‘purpose limitation’); (c) adequate, relevant and limited to what is necessary in relation to the purposes for which they are processed (‘data minimisation’); (d) accurate and, where necessary, kept up to date (‘accuracy’); (e) kept in a form which permits identification of data subjects for no longer than is necessary for the purposes for which the personal data are processed (‘storage limitation’); and (f) processed in a manner that ensures appropriate security of the personal data, including protection against unauthorised or unlawful processing and against accidental loss, destruction or damage, using appropriate technical or organisational measures (‘integrity and confidentiality’).";"According to Article 5, personal data shall be processed in accordance with six principles: lawfulness, fairness and transparency; purpose limitation; data minimisation; accuracy; storage limitation; and integrity and confidentiality.";"1";"13";"1";"50";"4";"0.90";"1.00";"0.81";"maritaca"
"7";"grafo";":PersonalData :Processing :LawfulBasisForProcessing :LawfulnessFairnessAndTransparency";"chapter II, article 6, point 1, chapter II, article 6, point text_2";"Under what circumstances is processing of personal data considered lawful according to Article 6?";"Processing of personal data is considered lawful if at least one of the following applies: (a) the data subject has given consent to the processing of his or her personal data for one or more specific purposes; (b) processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract; (c) processing is necessary for compliance with a legal obligation to which the controller is subject; (d) processing is necessary in order to protect the vital interests of the data subject or of another natural person; (e) processing is necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller; (f) processing is necessary for the purposes of the legitimate interests pursued by the controller or by a third party, except where such interests are overridden by the interests or fundamental rights and freedoms of the data subject which require protection of personal data, in particular where the data subject is a child.";"Processing of personal data is lawful only if at least one of the following applies: consent of the data subject (Art. 6(1)(a)); necessary for contract performance (Art. 6(1)(b)); compliance with a legal obligation (Art. 6(1)(c)); protection of vital interests (Art. 6(1)(d)); public interest/official authority (Art. 6(1)(e)); or legitimate interests of the controller or third party (Art. 6(1)(f)), except for processing by public authorities under (f).";"1";"25";"1";"50";"4";"0.98";"0.99";"0.82";"maritaca"
"8";"grafo";":Consent :DataSubject :GivenConsent :ObtainingConsent :ObligationForObtainingConsent :ShouldBeDistinguishableFromOtherMatters :ValidConsent :Controller";"chapter II, article 7, point 2";"What should the request for consent be presented as, if the data subject's consent is given in the context of a written declaration which also concerns other matters?";"The request for consent shall be presented in a manner which is clearly distinguishable from the other matters, in an intelligible and easily accessible form, using clear and plain language.";"The request for consent must be presented in a manner that is clearly distinguishable from the other matters in the written declaration, in an intelligible and easily accessible form, using clear and plain language.";"1";"31";"1";"50";"8";"1.00";"0.60";"0.96";"maritaca"
"9";"grafo";":PersonalData :Processing :DataSubject :LawfulBasisForProcessing";"chapter II, article 8, point 1, chapter II, article 8, point 2";"Under what conditions is the processing of personal data of a child lawful in relation to the offer of information society services directly to a child according to Article 8?";"The processing of personal data of a child shall be lawful where the child is at least 16 years old. Where the child is below the age of 16 years, such processing shall be lawful only if and to the extent that consent is given or authorised by the holder of parental responsibility over the child. Member States may provide by law for a lower age for those purposes provided that such lower age is not below 13 years.";"Processing of a child's personal data for information society services is lawful if the child is at least 16 years old, or if under 16, consent is given or authorized by the holder of parental responsibility. The controller must make reasonable efforts to verify parental consent, considering available technology.";"1";"25";"1";"50";"4";"0.99";"0.54";"0.71";"maritaca"
"10";"grafo";":Processing :PersonalData :SensitivePersonalData :LawfulBasisForProcessing";"chapter II, article 9, point 1, chapter II, article 9, point 2d, chapter II, article 9, point 2j";"Under what circumstances is processing of personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, or trade union membership allowed?";"Processing of personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, or trade union membership is allowed if the data subject has given explicit consent to the processing of those personal data for one or more specified purposes, except where Union or Member State law provide that the prohibition referred to in paragraph 1 may not be lifted by the data subject; processing is necessary for the purposes of carrying out the obligations and exercising specific rights of the controller or of the data subject in the field of employment and social security and social protection law in so far as it is authorised by Union or Member State law or a collective agreement pursuant to Member State law providing for appropriate safeguards for the fundamental rights and the interests of the data subject; processing is necessary to protect the vital interests of the data subject or of another natural person where the data subject is physically or legally incapable of giving consent; processing is carried out in the course of its legitimate activities with appropriate safeguards by a foundation, association or any other not-for-profit body with a political, philosophical, religious or trade union aim and on condition that the processing relates solely to the members or to former members of the body or to persons who have regular contact with it in connection with its purposes and that the personal data are not disclosed outside that body without the consent of the data subjects; processing relates to personal data which are manifestly made public by the data subject; processing is necessary for the establishment, exercise or defence of legal claims or whenever courts are acting in their judicial capacity; processing is necessary for reasons of substantial public interest, on the basis of Union or Member State law which shall be proportionate to the aim pursued, respect the essence of the right to data protection and provide for suitable and specific measures to safeguard the fundamental rights and the interests of the data subject; processing is necessary for reasons of public interest in the area of public health, such as protecting against serious cross-border threats to health or ensuring high standards of quality and safety of health care and of medicinal products or medical devices, on the basis of Union or Member State law which provides for suitable and specific measures to safeguard the rights and freedoms of the data subject, in particular professional secrecy; processing is necessary for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes in accordance with Article 89(1) based on Union or Member State law which shall be proportionate to the aim pursued, respect the essence of the right to data protection and provide for suitable and specific measures to safeguard the fundamental rights and the interests of the data subject.";"Processing of personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, or trade union membership is prohibited unless one of the specific exceptions in Article 9(2) of the GDPR applies, such as explicit consent of the data subject, processing necessary for employment or social security obligations, protection of vital interests, or for substantial public interest, among others.";"1";"25";"1";"50";"4";"0.74";"0.18";"0.64";"maritaca"
"11";"grafo";":Controller :ControllerObligation :Processing :PersonalData :IdentificationOfDataSubject";"chapter II, article 11, point 1, chapter II, article 11, point 2";"What are the obligations of a controller if the purposes for which they process personal data do not require identification of the data subject?";"If the purposes for which a controller processes personal data do not or do no longer require the identification of a data subject by the controller, the controller shall not be obliged to maintain, acquire or process additional information in order to identify the data subject for the sole purpose of complying with this Regulation.";"The controller is not obliged to maintain, acquire, or process additional information to identify the data subject if the processing purposes do not require identification. However, if the controller cannot identify the data subject, it must inform the data subject accordingly, and Articles 15 to 20 do not apply unless the data subject provides additional identifying information.";"1";"22";"1";"50";"5";"0.97";"0.54";"0.73";"maritaca"
"12";"grafo";":Controller :DataSubject :ControllerObligation :Compliance :Rights :RightToTransparency :RightToBasicInformationAboutProcessing :RightToAccessPersonalData :RightToRectification :RightOfErasure :RightToRestrictProcessing :PropogateRightsToThirdParties :RightOfDataPortability :RightToObjectToProcessing :RightToNotBeEvaluatedThroughAutomatedProcessing :NotifyDataSubjectOfBreach :ReportDataBreach :PersonalData :Processing";"chapter III, article 13, point 1, chapter III, article 14, point 1, chapter III, article 19, point text_1, chapter IV, article 34, point 1";"What measures should the controller take to provide information to the data subject under Articles 13 and 14 and any communication under Articles 15 to 22 and 34?";"The controller shall take appropriate measures to provide any information referred to in Articles 13 and 14 and any communication under Articles 15 to 22 and 34 relating to processing to the data subject in a concise, transparent, intelligible and easily accessible form, using clear and plain language, in particular for any information addressed specifically to a child. The information shall be provided in writing, or by other means, including, where appropriate, by electronic means. When requested by the data subject, the information may be provided orally, provided that the identity of the data subject is proven by other means.";"The controller must provide information to the data subject in clear and plain language, at the time personal data are obtained or before further processing, and communicate any rectification, erasure, or restriction of processing to recipients unless impossible or disproportionate. In case of personal data breach likely to result in high risk, the controller must inform the data subject without undue delay, describing the nature and measures taken. These obligations derive from Articles 13, 14, 19, and 34.";"1";"14";"1";"50";"19";"0.88";"0.58";"0.67";"maritaca"
