"type";"question";"response";"complexity";"saf";"nli";"sim";"relevancy";"faithfulness";"model
"grafo";"Fui demitido. A empresa tem que apagar minha foto e digital do relógio de ponto e da catraca?";"{'resposta': 'A empresa deve eliminar foto e biometria do ex-funcionário após a demissão, conforme direito de eliminação previsto na LGPD. O titular pode requisitar a exclusão, exceto se houver obrigação legal de manter os dados. Trecho-chave: ""eliminação dos dados pessoais tratados com o consentimento do titular, exceto nas hipóteses previstas no art. 16 desta Lei"".', 'resposta_completa': 'A Lei Geral de Proteção de Dados (LGPD) determina que, após o encerramento do vínculo empregatício, a empresa deve eliminar os dados pessoais do ex-funcionário, incluindo foto e biometria usados em relógio de ponto e catraca, salvo se houver obrigação legal de conservação. O titular dos dados pode solicitar a exclusão, e a empresa, como controladora, deve atender ao pedido, conforme art. 18, VI, da LGPD. Caso haja necessidade de manter os dados por obrigação legal ou regulatória, a empresa pode conservá-los, mas, em regra, a eliminação é obrigatória. O descumprimento pode gerar sanções administrativas. Trecho-chave: ""eliminação dos dados pessoais tratados com o consentimento do titular, exceto nas hipóteses previstas no art. 16 desta Lei"".', 'chunks': ['f9e4ad69', '5cf8dbf1'], 'trecho_chave': 'eliminação dos dados pessoais tratados com o consentimento do titular, exceto nas hipóteses previstas no art. 16 desta Lei', 'percentual': ['80', '20']}";"0.84";"0.85";"0.54";"0.82";"1.00";"1.00";"gpt"
"grafo";"Posso me recusar a dar minha digital para o relógio de ponto da empresa?";"{'resposta': 'O fornecimento da digital para controle de ponto envolve tratamento de dado biométrico, considerado sensível pela LGPD. O tratamento pode ocorrer com consentimento específico ou, sem ele, se indispensável para obrigação legal, prevenção à fraude ou segurança do titular.', 'resposta_completa': 'A digital é um dado biométrico, classificado como dado pessoal sensível pela LGPD (Lei 13.709/2018, art. 5º, II). O tratamento desses dados exige consentimento específico do titular, salvo hipóteses legais, como cumprimento de obrigação legal/regulatória, prevenção à fraude ou segurança do titular em processos de identificação e autenticação (art. 11, I e II, g). Assim, o empregado pode questionar a base legal do uso da biometria e solicitar alternativa, mas a empresa pode justificar a exigência se demonstrar que o uso é indispensável para segurança ou cumprimento de obrigação legal. O titular deve ser informado sobre a finalidade e as consequências da recusa, conforme art. 9º e art. 18 da LGPD.', 'chunks': ['e9106279', 'b47f4387'], 'trecho_chave': 'Art. 11 O tratamento de dados pessoais sensíveis somente poderá ocorrer nas seguintes hipóteses: I - quando o titular ou seu responsável legal consentir, de forma específica e destacada, para finalidades específicas; II - sem fornecimento de consentimento do titular, nas hipóteses em que for indispensável para: ... g) garantia da prevenção à fraude e à segurança do titular, nos processos de identificação e autenticação de cadastro em sistemas eletrônicos', 'percentual': ['60', '40']}";"0.67";"0.99";"0.54";"0.55";"1.00";"1.00";"gpt"
"grafo";"A empresa pode usar minha foto do crachá em campanhas publicitárias sem pedir minha autorização?";"{'resposta': 'A utilização da foto do crachá do funcionário em campanhas publicitárias pela empresa exige consentimento explícito do titular, pois se trata de dado pessoal. O consentimento deve ser livre, informado e inequívoco, conforme previsto na legislação de proteção de dados pessoais.', 'resposta_completa': 'A empresa, ao utilizar a foto do crachá do funcionário em campanhas publicitárias, está tratando dado pessoal, conforme definição do art. 5º da Lei Geral de Proteção de Dados (LGPD). O uso para fins de divulgação ou promoção de produtos e serviços não se enquadra nas hipóteses de dispensa de consentimento previstas na legislação. Assim, é obrigatório obter o consentimento explícito, livre e informado do titular da foto, conforme art. 5º, inciso XII, da LGPD. O titular tem direito de revogar o consentimento a qualquer momento e de solicitar informações sobre o tratamento de seus dados, conforme art. 18 da LGPD. O descumprimento pode gerar obrigação de reparação de danos e sanções administrativas.', 'chunks': ['e9106279', 'f9e4ad69'], 'trecho_chave': 'consentimento: manifestação livre, informada e inequívoca pela qual o titular concorda com - tratamento de seus dados pessoais para uma finalidade determinada'}";"0.76";"0.94";"0.54";"0.47";"1.00";"0.50";"gpt"
"grafo";"Meu empregador instalou câmera apontada diretamente para minha mesa. Isso é permitido?";"{'resposta': 'A instalação de câmera direcionada à mesa de trabalho deve observar princípios da LGPD, como finalidade, necessidade e transparência, além de garantir direitos de liberdade, intimidade e privacidade do titular. O uso deve ser proporcional e informado ao funcionário.', 'resposta_completa': 'A instalação de câmeras de monitoramento diretamente voltadas para a mesa de trabalho do funcionário, em ambiente corporativo, só é permitida se respeitar os princípios da Lei Geral de Proteção de Dados (LGPD), especialmente os princípios da finalidade, necessidade e transparência (art. 6º). O empregador deve informar claramente ao funcionário sobre a finalidade do monitoramento, garantir que o tratamento dos dados seja limitado ao mínimo necessário e não excessivo, e assegurar os direitos fundamentais de liberdade, intimidade e privacidade do titular dos dados (art. 4d9abb51). Caso haja violação desses princípios, o empregador pode ser responsabilizado por danos patrimoniais ou morais (art. 82b9f0a4). Portanto, o monitoramento só é legítimo se for proporcional, justificado e comunicado ao funcionário.', 'chunks': ['9c7da499', '4d9abb51', '82b9f0a4'], 'trecho_chave': 'As atividades de tratamento de dados pessoais deverão observar a boa-fé e os seguintes princípios: I - finalidade [...] III - necessidade: limitação do tratamento ao mínimo necessário [...] VI - transparência [...] garantir ao titular os direitos fundamentais de liberdade, intimidade e privacidade.', 'percentual': ['60', '30', '10']}";"0.89";"0.89";"0.57";"0.68";"1.00";"1.00";"gpt"
"grafo";"A empresa pode instalar câmera no banheiro ou vestiário alegando segurança?";"{'resposta': 'A instalação de câmeras em banheiros ou vestiários, mesmo sob alegação de segurança, viola princípios da LGPD, como necessidade, adequação e respeito à privacidade. O tratamento de dados deve ser limitado ao mínimo necessário, sem excessos ou invasão de áreas íntimas.', 'resposta_completa': 'A instalação de câmeras em banheiros ou vestiários por empresa, ainda que sob justificativa de segurança, afronta princípios fundamentais da Lei Geral de Proteção de Dados (LGPD), especialmente os princípios da necessidade, adequação e respeito à privacidade e intimidade do titular. O art. 6º da LGPD determina que o tratamento de dados deve ser limitado ao mínimo necessário para a finalidade pretendida, sendo vedado o tratamento excessivo ou incompatível com a finalidade informada. Monitoramento por vídeo em áreas íntimas, como banheiros e vestiários, caracteriza invasão de privacidade e não se justifica nem mesmo por razões de segurança, pois há outros meios menos invasivos para garantir a proteção do local. O respeito à dignidade, privacidade e intimidade do titular é obrigatório, e a instalação de câmeras nessas áreas viola tais direitos, podendo gerar responsabilização civil e administrativa.', 'chunks': ['9c7da499', 'e9106279'], 'trecho_chave': 'Art. 6º As atividades de tratamento de dados pessoais deverão observar a boa-fé e os seguintes princípios: ... III - necessidade: limitação do tratamento ao mínimo necessário para a realização de suas finalidades ... IV - livre acesso ... VII - segurança ... IX - não discriminação ...', 'percentual': ['70', '30']}";"0.73";"0.82";"0.54";"0.61";"1.00";"1.00";"gpt"
"grafo";"Posso exigir que a academia apague minha digital depois que cancelo a matrícula?";"{'resposta': 'A exclusão dos dados biométricos, como digitais, após o cancelamento da matrícula pode ser exigida pelo titular, conforme a LGPD. O controlador deve eliminar os dados ao término da relação, salvo obrigação legal de retenção. Trecho-chave: ""obrigação de exclusão definitiva de dados pessoais ao término da relação, a pedido do titular"".', 'resposta_completa': 'A Lei Geral de Proteção de Dados (LGPD) assegura ao titular dos dados o direito de solicitar a exclusão de seus dados pessoais, incluindo biométricos, após o término da relação com a academia. O controlador (academia) é obrigado a eliminar esses dados, salvo se houver obrigação legal ou regulatória que justifique a manutenção. O pedido deve ser formalizado pelo titular, e a academia deve atender, exceto nas hipóteses previstas em lei. O trecho-chave da regra utilizada é: ""obrigação de exclusão definitiva de dados pessoais ao término da relação, a pedido do titular"". Portanto, a solicitação de exclusão dos dados biométricos após o cancelamento da matrícula é respaldada pela legislação vigente.', 'chunks': ['f1ac48cc'], 'trecho_chave': 'obrigação de exclusão definitiva de dados pessoais ao término da relação, a pedido do titular', 'percentual': ['100']}";"0.60";"0.92";"0.55";"0.58";"1.00";"1.00";"gpt"
"grafo";"O condomínio pode obrigar moradores a cadastrar o rosto no sistema de reconhecimento facial para entrar?";"{'resposta': 'O condomínio só pode exigir cadastro de reconhecimento facial se houver consentimento específico do titular, pois dados biométricos são sensíveis. Exceção ocorre para prevenção à fraude e segurança, desde que não viole direitos fundamentais do titular.', 'resposta_completa': 'A obrigatoriedade de cadastro de biometria facial para acesso ao condomínio envolve o tratamento de dados pessoais sensíveis, conforme art. 5º da LGPD. O art. 11 da LGPD determina que o tratamento desses dados só pode ocorrer com consentimento específico e destacado do titular, salvo exceções como prevenção à fraude e segurança em sistemas eletrônicos, desde que não prevaleçam direitos e liberdades fundamentais do titular. Portanto, a imposição do cadastro sem consentimento só seria legítima se comprovadamente indispensável para segurança, sem violar direitos fundamentais. O condomínio deve ainda observar os princípios da finalidade, necessidade, transparência e segurança, informando claramente os titulares sobre o tratamento dos dados.', 'chunks': ['b47f4387', 'e9106279', '9c7da499'], 'trecho_chave': 'Art. 11 O tratamento de dados pessoais sensíveis somente poderá ocorrer nas seguintes hipóteses: I - quando o titular ou seu responsável legal consentir, de forma específica e destacada, para finalidades específicas; ... ou g) garantia da prevenção à fraude e à segurança do titular, nos processos de identificação e autenticação de cadastro em sistemas eletrônicos, resguardados os direitos mencionados no art. 9º desta Lei e exceto no caso de prevalecerem direitos e liberdades fundamentais do titular que exijam a proteção dos dados pessoais.', 'percentual': ['60', '20', '20']}";"0.79";"0.72";"0.53";"0.73";"1.00";"1.00";"gpt"
"grafo";"Sou obrigado a dar minha biometria/foto para entrar em um hospital ou clínica?";"{'resposta': 'A obrigatoriedade de fornecer biometria ou foto para acesso a hospital ou clínica depende de justificativa clara, finalidade legítima e respeito aos princípios da LGPD, como necessidade, adequação e transparência. O titular deve ser informado sobre o tratamento dos dados.', 'resposta_completa': 'A coleta de biometria ou foto para acesso a hospitais ou clínicas só pode ser exigida se houver finalidade legítima, necessidade e adequação, conforme os princípios da LGPD (Lei Geral de Proteção de Dados). O tratamento desses dados deve ser limitado ao mínimo necessário, com informações claras ao titular sobre a finalidade, procedimentos e práticas adotadas. O titular tem direito à transparência e à consulta facilitada sobre seus dados. Não há previsão legal que obrigue, de forma absoluta, o fornecimento desses dados sem justificativa adequada. O hospital ou clínica deve informar claramente a base legal e as consequências da recusa, conforme previsto na legislação.', 'chunks': ['9c7da499', 'a625792a'], 'trecho_chave': 'Art. 6º As atividades de tratamento de dados pessoais deverão observar a boa-fé e os seguintes princípios: I - finalidade: realização do tratamento para propósitos legítimos, específicos, explícitos e informados ao titular... III - necessidade: limitação do tratamento ao mínimo necessário para a realização de suas finalidades... Art. 23 ...fornecendo informações claras e atualizadas sobre a previsão legal, a finalidade, os procedimentos e as práticas utilizadas para a execução dessas atividades...', 'percentual': ['70', '30']}";"0.81";"0.95";"0.54";"0.46";"1.00";"1.00";"gpt"
"grafo";"A empresa pode compartilhar meu exame médico admissional com o meu gestor direto?";"{'resposta': 'O exame médico admissional contém dados pessoais sensíveis, conforme a LGPD, e seu compartilhamento com o gestor direto só pode ocorrer se houver base legal específica, como consentimento do titular ou obrigação legal. O trecho-chave: ""dado referente à saúde... dado pessoal sensível"".', 'resposta_completa': 'O exame médico admissional é considerado dado pessoal sensível pela LGPD, pois envolve informações sobre a saúde do titular. O compartilhamento desse exame com o gestor direto da empresa só é permitido se houver uma base legal adequada, como o consentimento explícito do titular ou uma obrigação legal que justifique tal compartilhamento. A LGPD exige que o tratamento de dados sensíveis seja restrito e protegido, visando garantir a privacidade, liberdade e intimidade do titular. O acesso indiscriminado por gestores que não atuam diretamente na área de saúde ou recursos humanos pode configurar violação à legislação de proteção de dados, sujeitando a empresa a sanções. Portanto, o compartilhamento deve ser restrito e justificado, conforme previsto na legislação.', 'chunks': ['e9106279'], 'trecho_chave': 'dado pessoal sensível: dado pessoal sobre [...] dado referente à saúde [...] quando vinculado a uma pessoa natural', 'percentual': ['100']}";"0.73";"0.80";"0.91";"0.58";"1.00";"1.00";"gpt"
"grafo";"Posso ser demitido por me recusar a fornecer dados biométricos para um novo sistema da empresa?";"{'resposta': 'A exigência de dados biométricos configura tratamento de dados pessoais sensíveis, que depende de consentimento específico do titular, conforme a LGPD. A recusa pode gerar conflito, mas a demissão só seria válida se houver justificativa legal e proporcionalidade.', 'resposta_completa': ""A coleta de dados biométricos no ambiente de trabalho é considerada tratamento de dados pessoais sensíveis, conforme o art. 5º, II, da LGPD. O consentimento do titular é requisito fundamental para esse tratamento, salvo hipóteses legais específicas. A recusa do empregado em fornecer tais dados não pode, por si só, justificar a demissão, salvo se a empresa demonstrar que o uso do dado biométrico é indispensável para a atividade e não há alternativa menos invasiva. A demissão sem justificativa proporcional pode ser considerada discriminatória ou abusiva. O trecho-chave da LGPD destaca: 'dado pessoal sensível: dado pessoal sobre [...] dado genético ou biométrico, quando vinculado a uma pessoa natural'."", 'chunks': ['e9106279', 'b47f4387'], 'trecho_chave': 'dado pessoal sensível: dado pessoal sobre [...] dado genético ou biométrico, quando vinculado a uma pessoa natural', 'percentual': ['70', '30']}";"0.86";"0.76";"0.54";"0.61";"1.00";"1.00";"gpt"
