Question;Answer;Complexity
I was fired. Does the company have to delete my photo and fingerprint from the time clock and turnstile?;Yes. Once the employment contract ends, the purpose for processing ceases. Biometric data is sensitive (Art. 9) and under the Right to Erasure (Art. 17), it must be deleted unless a specific national law requires retention.;7
Can I refuse to give my fingerprint to the company's time clock?;Yes. Biometrics are sensitive data. Under GDPR, employee consent is rarely considered "freely given" due to the imbalance of power. The employer must provide a less intrusive alternative (e.g., an ID badge or PIN).;8
Can the company use my badge photo in advertising campaigns without my permission?;No. The photo was collected for identification/security (purpose limitation, Art. 5). Using it for marketing is an incompatible purpose and requires freely given, explicit, and revocable consent.;3
My employer installed a camera pointed directly at my desk. Is this allowed?;No. This violates the principles of data minimization and proportionality (Art. 5). Continuous, targeted monitoring of an employee at their desk is considered highly intrusive and disproportionate in the EU.;6
Can the company install a camera in the bathroom or locker room claiming security?;Absolutely not. This is a severe violation of the right to privacy. No security claim can override the absolute expectation of privacy in these locations.;2
Can I demand that the gym delete my fingerprint after I cancel my membership?;Yes. Under the Right to Erasure (Art. 17), if the contract is terminated and access is no longer needed, the biometric data loses its purpose and must be deleted.;4
Can the condominium require residents to register their face in the facial recognition system to enter?;No. Facial recognition involves biometric data processing and cannot be mandatory without a specific, strong legal basis. The condominium must provide non-biometric alternatives (like a key fob or PIN).;7
Am I required to provide my biometrics/photo to enter a hospital or clinic?;No. Requiring a photo/biometrics merely for reception access is disproportionate. The hospital must accept standard methods, such as presenting a standard ID card.;5
Can the company share my pre-employment medical exam with my direct manager?;No. A manager only has the right to know if you are "fit", "unfit", or need "accommodations". Sharing medical diagnoses (sensitive data, Art. 9) with a manager violates confidentiality.;6
Can I be fired for refusing to provide biometric data for a new company system?;No. For consent to be valid, withholding it must not cause detriment. Firing an employee constitutes coercion, invalidating the data processing and violating labor rights.;9
My neighbor installed a camera that films my window and balcony. What does the GDPR say?;The GDPR states that the "household exemption" does not apply if a camera films public spaces or a third party's property. Your neighbor has become an unlawful "data controller" and is violating your privacy.;8
